Target,Release date,Deposited,Temporal violation,Closest pre-cutoff complex,TCRa identity,TCRb identity,Concat TCR identity,Peptide identity,MHC identity,All chains >40%?,Multimer TM,TM ref,Partial prior,Cluster,Rules triggered,Recommendation
7NA5,2022-06-22,2021-06-19,no,5TIL,65.7,55.9,52.3,22.2,99.4,no,0.859,6Q3S,"same MHC, other peptide",C31 (n=1),,Retain—temporally blind with partial prior
7NDQ,2022-01-26,2021-02-02,no,6RSY,92.2,91.8,73.3,33.3,99.4,no,0.816,2F54,"same MHC, other peptide",C19 (n=2),,Combine with another target as one cluster
7NDT,2022-01-26,2021-02-02,no,2ESV,99.1,100.0,99.5,100.0,98.9,2ESV (99%),0.947,2ESV,same/similar pMHC,C32 (n=1),rule 2 concat>=90:2ESV(99.5); Va>=95:2ESV(99.1); Vb>=95:2ESV(100.0); rule 3 all-chain>40% vs 2ESV (min 99%); rule 5 TM 0.95 vs 2ESV,Exclude—complete-complex similarity
7NDU,2022-01-26,2021-02-02,no,6RSY,92.2,91.8,73.3,25.0,98.9,no,0.818,2F54,"same MHC, other peptide",C19 (n=2),,Combine with another target as one cluster
7NME,2022-09-07,2021-02-23,no,7N1F,91.5,96.3,71.2,44.4,100.0,7N1F (44%),0.921,2YPL,"same MHC, other peptide",C02 (n=6),rule 2 Vb>=95:7N1F(96.3); rule 3 all-chain>40% vs 7N1F (min 44%); rule 5 TM 0.92 vs 2YPL,Exclude—high TCR redundancy
7NMF,2022-09-07,2021-02-23,no,7N1F,91.5,96.3,71.2,44.4,100.0,7N1F (44%),0.919,2YPL,"same MHC, other peptide",C02 (n=6),rule 2 Vb>=95:7N1F(96.3); rule 3 all-chain>40% vs 7N1F (min 44%); rule 5 TM 0.92 vs 2YPL,Exclude—high TCR redundancy
7NMG,2022-09-07,2021-02-23,no,7N1F,91.5,96.3,71.2,33.3,100.0,no,0.905,7N1E,"same MHC, other peptide",C02 (n=6),rule 2 Vb>=95:7N1F(96.3); rule 5 TM 0.91 vs 7N1E,Exclude—high TCR redundancy
7OW5,2022-07-20,2021-06-16,no,4JRX,85.0,91.7,82.6,0.0,100.0,no,0.841,1NAM,"similar TCR, other pMHC; same MHC, other peptide",C07 (n=3),,Combine with another target as one cluster
7OW6,2022-07-20,2021-06-16,no,6UON,85.0,91.7,82.6,70.0,100.0,no,0.864,6BJ3,"similar TCR, other pMHC; same MHC, other peptide",C07 (n=3),,Combine with another target as one cluster
7PB2,2022-07-20,2021-07-30,no,6UON,92.0,91.7,85.8,70.0,100.0,no,0.871,6VQO,"similar TCR, other pMHC; same MHC, other peptide",C07 (n=3),,Combine with another target as one cluster
7PBC,2022-08-03,2021-08-02,no,6AMU,92.5,93.5,83.6,44.4,100.0,6AMU (44%),0.942,2YPL,"similar TCR, other pMHC; same MHC, other peptide",C08 (n=3),rule 3 all-chain>40% vs 6AMU (min 44%); rule 5 TM 0.94 vs 2YPL,Retain in standard benchmark; exclude from strict subset
7PBE,2022-04-27,2021-08-02,no,7N1F,91.3,96.4,79.1,100.0,100.0,7N1F (68%),0.953,7N1F,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C33 (n=1),rule 2 Vb>=95:3VXR(96.4); rule 3 all-chain>40% vs 7N1F (min 68%); rule 5 TM 0.95 vs 7N1F,Exclude—high TCR redundancy
7PDW,2022-08-03,2021-08-09,no,6AMU,92.5,94.4,84.1,44.4,100.0,6AMU (44%),0.938,7N1F,"similar TCR, other pMHC; same MHC, other peptide",C08 (n=3),rule 3 all-chain>40% vs 6AMU (min 44%); rule 5 TM 0.94 vs 7N1F,Retain in standard benchmark; exclude from strict subset
7PHR,2022-08-31,2021-08-18,no,5EU6,91.1,93.6,70.5,100.0,100.0,5IVX (41%),0.941,5NQK,"same/similar pMHC; same MHC, other peptide",C34 (n=1),rule 3 all-chain>40% vs 5IVX (min 41%); rule 5 TM 0.94 vs 5NQK,Retain in standard benchmark; exclude from strict subset
7Q99,2023-02-22,2021-11-12,no,3HG1,100.0,100.0,100.0,30.0,100.0,no,0.99,3HG1,"similar TCR, other pMHC; same MHC, other peptide",C20 (n=2),rule 2 concat>=90:3HG1(100.0); Va>=95:3HG1(100.0); Vb>=95:3HG1(100.0); rule 5 TM 0.99 vs 3HG1,Exclude—high TCR redundancy
7Q9A,2023-02-22,2021-11-12,no,3HG1,100.0,100.0,100.0,60.0,100.0,3HG1 (60%),0.981,3HG1,"same MHC, other peptide",C20 (n=2),rule 2 concat>=90:3HG1(100.0); Va>=95:3HG1(100.0); Vb>=95:3HG1(100.0); rule 3 all-chain>40% vs 3HG1 (min 60%); rule 5 TM 0.98 vs 3HG1,Exclude—high TCR redundancy
7Q9B,2023-02-22,2021-11-12,no,5E9D,94.1,95.5,93.0,90.0,100.0,5E9D (87%),0.967,6TMO,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C09 (n=3),rule 2 concat>=90:4FTV(93.0); Vb>=95:1BD2(95.5); rule 3 all-chain>40% vs 5E9D (min 87%); rule 5 TM 0.97 vs 6TMO,Exclude—complete-complex similarity
7QPJ,2022-08-03,2022-01-04,no,6AMU,90.6,88.8,85.0,44.4,100.0,6AMU (44%),0.927,5NHT,"similar TCR, other pMHC; same MHC, other peptide",C08 (n=3),rule 3 all-chain>40% vs 6AMU (min 44%); rule 5 TM 0.93 vs 5NHT,Retain in standard benchmark; exclude from strict subset
7R80,2022-06-29,2021-06-25,no,2BNQ,90.7,96.4,89.5,11.1,97.2,no,0.873,1G6R,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03 (n=5),rule 2 Vb>=95:3GSN(96.4),Exclude—high TCR redundancy
7RDV,2022-07-27,2021-07-11,no,6DFW,88.0,92.7,88.0,16.7,91.0,no,0.803,3QIU,"similar TCR, other pMHC",C35 (n=1),,Retain—temporally blind with partial prior
7RK7,2022-11-02,2021-07-22,no,6AVF,91.3,89.1,72.0,22.2,100.0,no,0.815,2BNQ,"same MHC, other peptide",C36 (n=1),,Retain—temporally blind with partial prior
7RM4,2022-02-09,2021-07-26,no,6VQO,39.4,37.4,35.3,100.0,100.0,no,0.487,6R2L,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C37 (n=1),,Retain—temporally blind with partial prior
7RRG,2022-03-23,2021-08-09,no,6AVG,92.2,93.7,66.8,33.3,96.1,no,0.848,2UWE,"same MHC, other peptide",C38 (n=1),,Retain—temporally blind with partial prior
7RTR,2021-10-13,2021-08-14,no,7N1F,100.0,100.0,100.0,100.0,100.0,7N1F (100%),0.989,7N1F,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C21 (n=2),rule 2 concat>=90:7N1F(100.0); Va>=95:7N1F(100.0); Vb>=95:7N1F(100.0); rule 3 all-chain>40% vs 7N1F (min 100%); rule 5 TM 0.99 vs 7N1F,Exclude—complete-complex similarity
7SG0,2022-02-23,2021-10-04,no,6PY2,92.6,91.7,77.0,45.5,100.0,6U3N (46%),0.829,3QIW,"same MHC, other peptide",C39 (n=1),rule 3 all-chain>40% vs 6U3N (min 46%),Retain in standard benchmark; exclude from strict subset
7SG1,2022-02-23,2021-10-04,no,4OZI,92.4,56.2,73.3,92.3,100.0,4OZI (55%),0.824,2Z31,"same/similar pMHC; binary pMHC, no ternary",C22 (n=2),rule 3 all-chain>40% vs 4OZI (min 55%),Retain in standard benchmark; exclude from strict subset
7SG2,2022-02-23,2021-10-04,no,4OZI,92.4,56.2,73.3,84.6,100.0,4OZI (55%),0.814,6U3N,"same MHC, other peptide",C22 (n=2),rule 3 all-chain>40% vs 4OZI (min 55%),Retain in standard benchmark; exclude from strict subset
7SU9,2022-06-08,2021-11-16,no,6ULR,100.0,100.0,100.0,88.9,98.9,6ULN (89%),0.814,5WLG,"binary pMHC, no ternary",C40 (n=1),rule 2 concat>=90:6ULR(100.0); Va>=95:6ULN(100.0); Vb>=95:6ULR(100.0); rule 3 all-chain>40% vs 6ULN (min 89%),Exclude—complete-complex similarity
7T2B,2022-12-28,2021-12-03,no,4P4K,92.2,93.5,67.5,18.2,95.7,no,0.845,1ZGL,"same MHC, other peptide",C41 (n=1),,Retain—temporally blind with partial prior
7T2C,2022-12-28,2021-12-03,no,4OZI,93.4,93.8,91.9,8.3,97.2,no,0.698,4C56,"similar TCR, other pMHC; same MHC, other peptide",C42 (n=1),rule 2 concat>=90:4OZI(91.9),Exclude—high TCR redundancy
7T2D,2022-12-28,2021-12-03,no,4P4K,51.4,95.2,66.8,18.2,96.7,no,0.776,1ZGL,"same MHC, other peptide",C43 (n=1),rule 2 Vb>=95:6PX6(95.2),Exclude—high TCR redundancy
7Z50,2022-07-20,2022-03-06,no,6DFW,93.5,59.3,64.1,15.4,98.2,no,0.896,6R0E,"same MHC, other peptide",C44 (n=1),,Retain—temporally blind with partial prior
8CX4,2022-12-07,2022-05-19,no,5EU6,92.7,92.8,75.8,22.2,99.4,no,0.871,2YPL,"same MHC, other peptide",C01 (n=11),,Combine with another target as one cluster
8D5Q,2022-09-14,2022-06-05,no,1FO0,68.9,93.7,63.1,50.0,99.4,no,0.897,2OL3,"same MHC, other peptide",C45 (n=1),,Retain—temporally blind with partial prior
8DNT,2023-07-19,2022-07-11,no,6RP9,91.5,90.1,79.3,33.3,100.0,no,0.926,5NQK,"binary pMHC, no ternary; same MHC, other peptide",C09 (n=3),rule 5 TM 0.93 vs 5NQK,Retain in standard benchmark; exclude from strict subset
8EN8,2024-03-27,2022-09-29,no,3O4L,88.1,91.1,74.4,11.1,100.0,no,0.88,6BJ3,"binary pMHC, no ternary; same MHC, other peptide",C10 (n=3),,Combine with another target as one cluster
8ENH,2024-03-27,2022-09-30,no,3O4L,88.1,91.1,74.4,11.1,100.0,no,0.887,6BJ2,"same MHC, other peptide",C10 (n=3),,Combine with another target as one cluster
8EO8,2024-03-27,2022-10-02,no,3O4L,88.1,91.1,74.4,11.1,100.0,no,0.891,6G9Q,"same MHC, other peptide",C10 (n=3),,Combine with another target as one cluster
8ES8,2023-05-03,2022-10-13,no,6TRO,89.1,91.9,68.5,100.0,100.0,6TRO (44%),0.848,3D39,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C46 (n=1),rule 3 all-chain>40% vs 6TRO (min 44%),Retain in standard benchmark; exclude from strict subset
8ES9,2023-05-03,2022-10-13,no,6TRO,89.4,92.9,67.0,100.0,100.0,no,0.691,2UWE,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C47 (n=1),,Retain—temporally blind with partial prior
8F5A,2024-05-22,2022-11-12,no,5BRZ,89.8,94.4,87.2,22.2,98.9,no,0.906,5ISZ,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C48 (n=1),rule 5 TM 0.91 vs 5ISZ,Retain in standard benchmark; exclude from strict subset
8GOM,2023-03-01,2022-08-25,no,6P64,91.7,95.5,91.8,22.2,100.0,no,0.928,3GSN,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C23 (n=2),rule 2 concat>=90:6P64(91.8); Vb>=95:6P64(95.5); rule 5 TM 0.93 vs 3GSN,Exclude—high TCR redundancy
8GON,2023-03-01,2022-08-25,no,7N1E,91.7,95.5,91.8,88.9,100.0,no,0.925,5YXU,"similar TCR, other pMHC; same MHC, other peptide",C23 (n=2),rule 2 concat>=90:6P64(91.8); Vb>=95:6P64(95.5); rule 5 TM 0.93 vs 5YXU,Exclude—high TCR redundancy
8GVB,2022-10-19,2022-09-14,no,3VXR,90.9,93.7,64.8,100.0,100.0,no,0.912,3VXR,"same/similar pMHC; binary pMHC, no ternary",C02 (n=6),rule 5 TM 0.91 vs 3VXR,Retain in standard benchmark; exclude from strict subset
8GVG,2022-10-19,2022-09-15,no,3VXM,90.9,93.7,64.8,100.0,100.0,no,0.904,3VXR,"same/similar pMHC; binary pMHC, no ternary",C02 (n=6),rule 5 TM 0.90 vs 3VXR,Retain in standard benchmark; exclude from strict subset
8GVI,2022-10-19,2022-09-15,no,3VXR,90.9,94.6,64.8,100.0,100.0,no,0.908,3VXR,"same/similar pMHC; binary pMHC, no ternary",C02 (n=6),rule 5 TM 0.91 vs 3VXR,Retain in standard benchmark; exclude from strict subset
8I5C,2023-08-23,2023-01-24,no,6UON,65.1,95.3,68.8,66.7,100.0,6UON (64%),0.927,3QEQ,"same MHC, other peptide",C24 (n=2),rule 2 Vb>=95:1G6R(95.3); rule 3 all-chain>40% vs 6UON (min 64%); rule 5 TM 0.93 vs 3QEQ,Exclude—high TCR redundancy
8I5D,2023-08-23,2023-01-25,no,5EU6,70.3,67.6,64.6,33.3,100.0,no,0.933,6EQB,"same MHC, other peptide",C49 (n=1),rule 5 TM 0.93 vs 6EQB,Retain in standard benchmark; exclude from strict subset
8PJG,2024-06-19,2023-06-23,no,6R0E,100.0,100.0,100.0,92.3,100.0,6R0E (92%),0.987,6R0E,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C50 (n=1),rule 2 concat>=90:6R0E(100.0); Va>=95:6R0E(100.0); Vb>=95:6R0E(100.0); rule 3 all-chain>40% vs 6R0E (min 92%); rule 5 TM 0.99 vs 6R0E,Exclude—complete-complex similarity
8QFY,2024-05-15,2023-09-05,no,7N1F,91.5,93.6,91.2,33.3,99.4,no,0.868,2BNR,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C21 (n=2),rule 2 concat>=90:7N1F(91.2),Exclude—high TCR redundancy
8RJ5,2025-01-01,2023-12-20,no,6VRM,92.3,97.2,92.6,0.0,100.0,7N6E (44%),0.898,6G9Q,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C15 (n=3),rule 2 concat>=90:6VRM(92.6); Vb>=95:6VRM(97.2); rule 3 all-chain>40% vs 7N6E (min 44%),Exclude—high TCR redundancy
8RLT,2024-10-16,2024-01-03,no,1AO7,88.7,94.5,86.6,22.2,99.4,7N6E (44%),0.917,7N1F,"similar TCR, other pMHC; same MHC, other peptide",C11 (n=3),rule 3 all-chain>40% vs 7N6E (min 44%); rule 5 TM 0.92 vs 7N1F,Retain in standard benchmark; exclude from strict subset
8RLU,2024-10-16,2024-01-03,no,1AO7,88.7,94.5,86.6,22.2,99.4,6VMC (44%),0.916,7N1F,"similar TCR, other pMHC; same MHC, other peptide",C11 (n=3),rule 3 all-chain>40% vs 6VMC (min 44%); rule 5 TM 0.92 vs 7N1F,Retain in standard benchmark; exclude from strict subset
8RLV,2024-10-16,2024-01-03,no,1AO7,88.7,94.5,86.6,22.2,99.4,2YPL (44%),0.919,7N1F,"similar TCR, other pMHC; same MHC, other peptide",C11 (n=3),rule 3 all-chain>40% vs 2YPL (min 44%); rule 5 TM 0.92 vs 7N1F,Retain in standard benchmark; exclude from strict subset
8RRO,2024-11-20,2024-01-23,no,1NAM,79.8,98.2,64.8,25.0,96.1,no,0.877,5JZI,"same MHC, other peptide",C51 (n=1),rule 2 Vb>=95:1KJ2(98.2),Exclude—high TCR redundancy
8RYM,2024-09-04,2024-02-09,no,2BNQ,91.6,86.5,85.3,11.1,96.1,no,0.894,3GSN,"similar TCR, other pMHC; same MHC, other peptide",C12 (n=3),,Combine with another target as one cluster
8RYN,2024-09-04,2024-02-09,no,2BNQ,91.6,86.5,85.3,11.1,100.0,no,0.898,3GSN,"similar TCR, other pMHC; same MHC, other peptide",C12 (n=3),,Combine with another target as one cluster
8RYO,2024-09-04,2024-02-09,no,2BNQ,88.8,86.5,83.9,11.1,96.1,no,0.885,3GSN,"similar TCR, other pMHC; same MHC, other peptide",C12 (n=3),,Combine with another target as one cluster
8RYP,2024-09-04,2024-02-09,no,5EU6,91.7,97.3,73.5,22.2,96.1,no,0.908,2JCC,"same MHC, other peptide",C01 (n=11),rule 2 Vb>=95:6AVG(97.3); rule 5 TM 0.91 vs 2JCC,Exclude—high TCR redundancy
8RYQ,2024-09-04,2024-02-09,no,5BRZ,91.7,97.3,74.0,11.1,100.0,no,0.907,6RSY,"same MHC, other peptide",C01 (n=11),rule 2 Vb>=95:6AVG(97.3); rule 5 TM 0.91 vs 6RSY,Exclude—high TCR redundancy
8SHI,2023-06-28,2023-04-14,no,4G8G,89.3,97.2,71.3,25.0,92.8,no,0.877,5IVX,"binary pMHC, no ternary",C52 (n=1),rule 2 Vb>=95:5MEN(97.2),Exclude—high TCR redundancy
8V4Z,2024-12-18,2023-11-29,no,2NX5,75.2,92.8,61.1,33.3,100.0,no,0.933,5NMG,"same MHC, other peptide",C13 (n=3),rule 5 TM 0.93 vs 5NMG,Retain in standard benchmark; exclude from strict subset
8V50,2024-12-18,2023-11-30,no,2NX5,75.2,92.8,61.1,33.3,100.0,no,0.922,5NMG,"same MHC, other peptide",C13 (n=3),rule 5 TM 0.92 vs 5NMG,Retain in standard benchmark; exclude from strict subset
8V51,2024-12-18,2023-11-30,no,2NX5,75.2,92.8,61.1,33.3,100.0,no,0.935,5NMG,"binary pMHC, no ternary; same MHC, other peptide",C13 (n=3),rule 5 TM 0.93 vs 5NMG,Retain in standard benchmark; exclude from strict subset
8VCX,2024-08-07,2023-12-14,no,6XCP,100.0,100.0,100.0,66.7,100.0,6XCP (67%),0.836,3QIW,"same MHC, other peptide",C14 (n=3),rule 2 concat>=90:6XCP(100.0); Va>=95:6XCP(100.0); Vb>=95:6XCP(100.0); rule 3 all-chain>40% vs 6XCP (min 67%),Exclude—high TCR redundancy
8VCY,2024-08-07,2023-12-14,no,6XCP,100.0,100.0,100.0,66.7,100.0,6XCP (67%),0.824,1ZGL,"same MHC, other peptide",C14 (n=3),rule 2 concat>=90:6XCP(100.0); Va>=95:6XCP(100.0); Vb>=95:6XCP(100.0); rule 3 all-chain>40% vs 6XCP (min 67%),Exclude—high TCR redundancy
8VD2,2024-08-07,2023-12-14,no,6XCP,91.4,98.1,91.6,71.4,100.0,6XCP (71%),0.835,3QIU,"same MHC, other peptide",C14 (n=3),rule 2 concat>=90:6XCP(91.6); Vb>=95:6DFX(98.1); rule 3 all-chain>40% vs 6XCP (min 71%),Exclude—complete-complex similarity
8WTE,2024-05-01,2023-10-18,no,6UON,64.5,54.5,50.0,66.7,100.0,no,0.904,5NMG,"same MHC, other peptide",C25 (n=2),rule 5 TM 0.90 vs 5NMG,Retain in standard benchmark; exclude from strict subset
8WUL,2024-05-01,2023-10-20,no,6UON,64.5,54.5,52.1,66.7,100.0,no,0.907,5NMG,"same MHC, other peptide",C25 (n=2),rule 5 TM 0.91 vs 5NMG,Retain in standard benchmark; exclude from strict subset
8YE4,2024-08-21,2024-02-21,no,6VRM,93.4,97.2,94.0,0.0,100.0,7N6E (44%),0.897,7N1F,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C15 (n=3),rule 2 concat>=90:6VRM(94.0); Vb>=95:6VRM(97.2); rule 3 all-chain>40% vs 7N6E (min 44%),Exclude—high TCR redundancy
8YIV,2024-12-04,2024-02-29,no,6BJ3,94.4,94.4,74.5,11.1,100.0,no,0.898,3UTS,"binary pMHC, no ternary; same MHC, other peptide",C26 (n=2),,Combine with another target as one cluster
8YJ2,2024-12-04,2024-02-29,no,6BJ3,94.4,94.4,74.5,11.1,100.0,no,0.906,6AM5,"binary pMHC, no ternary; same MHC, other peptide",C26 (n=2),rule 5 TM 0.91 vs 6AM5,Retain in standard benchmark; exclude from strict subset
9D95,2025-09-03,2024-08-21,no,3QEQ,92.1,95.5,66.5,22.2,93.4,no,0.902,3QEQ,none,C53 (n=1),rule 2 Vb>=95:3O4L(95.5); rule 5 TM 0.90 vs 3QEQ,Exclude—high TCR redundancy
9EJG,2025-03-26,2024-11-27,no,6U3N,50.0,92.7,67.3,50.0,100.0,6PX6 (41%),0.519,6PY2,"same MHC, other peptide",C16 (n=3),rule 3 all-chain>40% vs 6PX6 (min 41%),Retain in standard benchmark; exclude from strict subset
9EJH,2025-03-26,2024-11-27,no,6U3N,50.0,92.7,67.3,33.3,100.0,no,0.512,6R0E,"binary pMHC, no ternary; same MHC, other peptide",C16 (n=3),,Combine with another target as one cluster
9EJI,2025-03-26,2024-11-27,no,6PX6,50.0,92.7,67.3,75.0,100.0,6PX6 (41%),0.509,6PY2,none,C16 (n=3),rule 3 all-chain>40% vs 6PX6 (min 41%),Retain in standard benchmark; exclude from strict subset
9GV6,2025-04-23,2024-09-23,no,6R2L,86.4,91.2,64.5,44.4,100.0,1MI5 (44%),0.849,6EQA,"same MHC, other peptide",C54 (n=1),rule 3 all-chain>40% vs 1MI5 (min 44%),Retain in standard benchmark; exclude from strict subset
9GV7,2025-04-23,2024-09-23,no,5E9D,89.6,84.4,80.2,40.0,100.0,no,0.513,5M00,"similar TCR, other pMHC; same MHC, other peptide",C55 (n=1),,Retain—temporally blind with partial prior
9HLJ,2025-08-06,2024-12-05,no,3KPS,90.3,94.6,62.7,33.3,96.1,no,0.88,3GSN,"same MHC, other peptide",C56 (n=1),,Retain—temporally blind with partial prior
9IKY,2025-06-18,2024-06-29,no,6UON,65.1,95.3,68.8,66.7,100.0,6UON (64%),0.926,3QEQ,"same MHC, other peptide",C24 (n=2),rule 2 Vb>=95:1G6R(95.3); rule 3 all-chain>40% vs 6UON (min 64%); rule 5 TM 0.93 vs 3QEQ,Exclude—high TCR redundancy
9J4T,2025-08-13,2024-08-10,no,4G8G,91.1,86.4,65.9,33.3,100.0,no,0.885,1NAM,"binary pMHC, no ternary; same MHC, other peptide",C57 (n=1),,Retain—temporally blind with partial prior
9J4U,2025-08-13,2024-08-10,no,5NMF,89.3,94.5,67.0,22.2,100.0,no,0.914,5NHT,"binary pMHC, no ternary; same MHC, other peptide",C58 (n=1),rule 5 TM 0.91 vs 5NHT,Retain in standard benchmark; exclude from strict subset
9K2I,2025-10-22,2024-10-17,no,5TEZ,97.2,81.4,66.8,11.1,100.0,5NHT (42%),0.9,3GSN,"same MHC, other peptide",C59 (n=1),rule 2 Va>=95:5TEZ(97.2); rule 3 all-chain>40% vs 5NHT (min 42%); rule 5 TM 0.90 vs 3GSN,Exclude—high TCR redundancy
9K2R,2025-09-17,2024-10-18,no,5ISZ,87.9,92.6,71.0,11.1,96.1,no,0.875,6VQO,"same MHC, other peptide",C60 (n=1),,Retain—temporally blind with partial prior
9LLU,2026-07-22,2025-01-17,no,6BJ2,88.7,93.6,63.9,33.3,100.0,5C08 (43%),0.491,5D2L,"same MHC, other peptide",C61 (n=1),rule 3 all-chain>40% vs 5C08 (min 43%),Retain in standard benchmark; exclude from strict subset
