target,mhc_class,closest_ref,closest_mean_id,tcra_id,tcrb_id,pep_id,mhc_id,tcr_concat_closest,max_tcra,max_tcrb,max_tcr_concat,rule2_hits,rule2_violation,rule3_ref,rule3_min_id,rule3_violation,pp_same_pmhc,pp_same_mhc_other_pep,pp_similar_tcr_other_pmhc,best_mhc_id,deposit_date,release_date_rcsb,temporal_violation,tm_best,tm_best_ref,tm_best_nchain,tm_best_map_ok,tm_full,tm_full_ref,tm_violation,rule3_strong,partial_prior,cluster,cluster_size,recommendation,rules_triggered,n_binary_candidates,binary_pep_identity,binary_pep_ref,binary_pmhc_prior
7N2N,Class I,3MV7,61.78418803418804,57.69230769230769,91.66666666666669,11.11111111111111,86.66666666666667,75.0,92.72727272727272,92.7927927927928,75.0,,False,,,False,False,True,False,99.4475138121547,2021-05-29,2022-12-07,False,0.90077,6VQO,3,False,0.876,2YPL,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,33.333333333333336,1HSA,False
7N2O,Class I,5EU6,62.54827278307941,92.72727272727272,51.81818181818182,22.22222222222222,83.42541436464089,72.27272727272727,92.72727272727272,92.7927927927928,75.0,,False,,,False,False,True,False,99.4475138121547,2021-05-29,2022-12-07,False,0.88778,6VQO,3,False,0.86182,2YPL,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,33.333333333333336,6PYJ,False
7N2P,Class I,5EU6,65.25743992620882,92.45283018867924,51.81818181818182,33.333333333333336,83.42541436464089,71.42857142857143,92.45283018867924,91.89189189189187,74.19354838709677,,False,,,False,False,True,False,99.4475138121547,2021-05-29,2022-12-07,False,0.90987,6VQO,3,False,0.8858,3QDM,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,11.11111111111111,1HSA,False
7N2Q,Class I,5EU6,62.479662148431046,92.45283018867924,51.81818181818182,22.22222222222222,83.42541436464089,71.42857142857143,92.45283018867924,91.89189189189187,74.19354838709677,,False,,,False,False,True,False,99.4475138121547,2021-05-29,2022-12-07,False,0.90131,6VQO,3,False,0.87434,3QDM,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,33.333333333333336,6PYJ,False
7N2R,Class I,5BRZ,60.74356800899569,86.79245283018868,63.30275229357798,11.11111111111111,81.76795580110497,74.19354838709677,92.45283018867924,91.89189189189187,74.19354838709677,,False,,,False,False,True,False,99.4475138121547,2021-05-29,2022-12-07,False,0.91255,6VQO,3,False,0.88866,3QDM,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,33.333333333333336,1HSA,False
7N2S,Class I,5BRZ,60.85946647784552,89.0909090909091,61.46788990825688,11.11111111111111,81.76795580110497,75.34246575342466,91.8181818181818,92.7927927927928,75.34246575342466,,False,,,False,False,True,False,99.4475138121547,2021-05-29,2022-12-07,False,0.91386,6VQO,4,True,0.91386,6VQO,True,False,"same MHC, other peptide",C01,11,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.91 vs 6VQO,50,33.333333333333336,1HSA,False
7N4K,Class I,3PQY,99.7175141242938,100.0,100.0,100.0,98.87005649717514,100.0,100.0,100.0,100.0,concat>=90:3PQY(100.0); Va>=95:3PQY(100.0); Vb>=95:3PQY(100.0),True,3PQY,98.87005649717514,True,True,True,False,99.43502824858756,2021-06-04,2022-07-20,False,0.92597,6L9L,4,True,0.92597,6L9L,True,True,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C06,3,Exclude—complete-complex similarity,rule 2 concat>=90:3PQY(100.0); Va>=95:3PQY(100.0); Vb>=95:3PQY(100.0); rule 3 all-chain>40% vs 3PQY (min 99%); rule 5 TM 0.93 vs 6L9L,70,100.0,1WBY,True
7N5C,Class I,3PQY,97.26415094339625,99.05660377358492,100.0,90.0,100.0,99.53051643192488,99.05660377358492,100.0,99.53051643192488,concat>=90:3PQY(99.5); Va>=95:3PQY(99.1); Vb>=95:3PQY(100.0),True,3PQY,90.0,True,True,True,False,100.0,2021-06-05,2022-07-20,False,0.91992,6L9L,4,True,0.91992,6L9L,True,True,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C06,3,Exclude—complete-complex similarity,rule 2 concat>=90:3PQY(99.5); Va>=95:3PQY(99.1); Vb>=95:3PQY(100.0); rule 3 all-chain>40% vs 3PQY (min 90%); rule 5 TM 0.92 vs 6L9L,70,90.0,1WBY,True
7N5P,Class I,3PQY,97.35795454545456,100.0,100.0,90.0,99.4318181818182,100.0,100.0,100.0,100.0,concat>=90:3PQY(100.0); Va>=95:3PQY(100.0); Vb>=95:3PQY(100.0),True,3PQY,90.0,True,True,True,False,100.0,2021-06-06,2022-07-20,False,0.93222,6L9L,4,True,0.93222,6L9L,True,True,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C06,3,Exclude—complete-complex similarity,rule 2 concat>=90:3PQY(100.0); Va>=95:3PQY(100.0); Vb>=95:3PQY(100.0); rule 3 all-chain>40% vs 3PQY (min 90%); rule 5 TM 0.93 vs 6L9L,70,90.0,1WBY,True
7NA5,Class I,5TIL,54.00974025974026,56.19047619047619,38.18181818181818,22.22222222222222,99.44444444444444,46.75925925925926,65.71428571428571,55.85585585585586,52.31481481481482,,False,,,False,False,True,False,99.44444444444444,2021-06-19,2022-06-22,False,0.85951,2F54,3,False,0.85903,6Q3S,False,False,"same MHC, other peptide",C31,1,Retain—temporally blind with partial prior,,70,33.333333333333336,6WZY,False
7NDQ,Class I,6RSY,62.66960581877709,53.7037037037037,91.8181818181818,33.333333333333336,71.8232044198895,72.93577981651376,92.23300970873788,91.8181818181818,73.27188940092167,,False,,,False,False,True,False,99.4475138121547,2021-02-02,2022-01-26,False,0.81966,1LP9,3,False,0.81608,2F54,False,False,"same MHC, other peptide",C19,2,Combine with another target as one cluster,,11,88.88888888888889,6GL1,False
7NDT,Class I,2ESV,99.48857736240916,99.06542056074768,100.0,100.0,98.88888888888889,99.53703703703704,99.06542056074768,100.0,99.53703703703704,concat>=90:2ESV(99.5); Va>=95:2ESV(99.1); Vb>=95:2ESV(100.0),True,2ESV,98.88888888888889,True,True,False,False,98.88888888888889,2021-02-02,2022-01-26,False,0.94747,2ESV,4,True,0.94747,2ESV,True,True,same/similar pMHC,C32,1,Exclude—complete-complex similarity,rule 2 concat>=90:2ESV(99.5); Va>=95:2ESV(99.1); Vb>=95:2ESV(100.0); rule 3 all-chain>40% vs 2ESV (min 99%); rule 5 TM 0.95 vs 2ESV,11,87.5,1KPR,False
7NDU,Class I,6RSY,60.58627248544376,53.7037037037037,91.8181818181818,25.0,71.8232044198895,72.93577981651376,92.23300970873788,91.8181818181818,73.27188940092167,,False,,,False,False,True,False,98.8950276243094,2021-02-02,2022-01-26,False,0.82454,1LP9,3,False,0.81763,2F54,False,False,"same MHC, other peptide",C19,2,Combine with another target as one cluster,,11,87.5,6GL1,False
7NME,Class I,7N1F,68.87135237679978,45.794392523364486,96.29629629629628,44.44444444444444,88.95027624309392,71.16279069767442,91.50943396226415,96.29629629629628,71.16279069767442,Vb>=95:7N1F(96.3),True,7N1F,44.44444444444444,True,False,True,False,100.0,2021-02-23,2022-09-07,False,0.93265,7N1F,3,False,0.92073,2YPL,True,False,"same MHC, other peptide",C02,6,Exclude—high TCR redundancy,rule 2 Vb>=95:7N1F(96.3); rule 3 all-chain>40% vs 7N1F (min 44%); rule 5 TM 0.92 vs 2YPL,29,33.333333333333336,3I6L,False
7NMF,Class I,7N1F,68.87135237679978,45.794392523364486,96.29629629629628,44.44444444444444,88.95027624309392,71.16279069767442,91.50943396226415,96.29629629629628,71.16279069767442,Vb>=95:7N1F(96.3),True,7N1F,44.44444444444444,True,False,True,False,100.0,2021-02-23,2022-09-07,False,0.93584,7N1F,3,False,0.91902,2YPL,True,False,"same MHC, other peptide",C02,6,Exclude—high TCR redundancy,rule 2 Vb>=95:7N1F(96.3); rule 3 all-chain>40% vs 7N1F (min 44%); rule 5 TM 0.92 vs 2YPL,29,33.333333333333336,3I6L,False
7NMG,Class I,7N1F,66.093574599022,45.794392523364486,96.29629629629628,33.333333333333336,88.95027624309392,71.16279069767442,91.50943396226415,96.29629629629628,71.16279069767442,Vb>=95:7N1F(96.3),True,,,False,False,True,False,100.0,2021-02-23,2022-09-07,False,0.93236,7N1F,3,False,0.90535,7N1E,True,False,"same MHC, other peptide",C02,6,Exclude—high TCR redundancy,rule 2 Vb>=95:7N1F(96.3); rule 5 TM 0.91 vs 7N1E,29,25.0,4WU5,False
7OW5,Class I,4JRX,61.689715416350936,83.78378378378379,81.30841121495327,0.0,81.66666666666667,82.56880733944953,84.95575221238938,91.74311926605505,82.56880733944953,,False,,,False,False,True,True,100.0,2021-06-16,2022-07-20,False,0.88153,6VRM,3,False,0.84135,1NAM,False,False,"similar TCR, other pMHC; same MHC, other peptide",C07,3,Combine with another target as one cluster,,18,22.22222222222222,6JOZ,False
7OW6,Class I,6UON,62.37300373768264,34.86238532110092,60.18518518518518,70.0,84.44444444444444,47.465437788018434,84.95575221238938,91.74311926605505,82.56880733944953,,False,,,False,False,True,True,100.0,2021-06-16,2022-07-20,False,0.88179,5M01,3,False,0.86365,6BJ3,False,False,"similar TCR, other pMHC; same MHC, other peptide",C07,3,Combine with another target as one cluster,,18,22.22222222222222,6JOZ,False
7PB2,Class I,6UON,63.29255861365953,37.61467889908257,61.11111111111112,70.0,84.44444444444444,49.30875576036866,92.03539823008848,91.74311926605505,85.77981651376147,,False,,,False,False,True,True,100.0,2021-07-30,2022-07-20,False,0.88634,5M01,3,False,0.87126,6VQO,False,False,"similar TCR, other pMHC; same MHC, other peptide",C07,3,Combine with another target as one cluster,,18,22.22222222222222,6JOZ,False
7PBC,Class I,6AMU,74.63826681557241,89.62264150943396,64.48598130841121,44.44444444444444,100.0,76.6355140186916,92.45283018867924,93.45794392523364,83.64485981308411,,False,6AMU,44.44444444444444,True,False,True,True,100.0,2021-08-02,2022-08-03,False,0.94216,2YPL,4,True,0.94216,2YPL,True,False,"similar TCR, other pMHC; same MHC, other peptide",C08,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6AMU (min 44%); rule 5 TM 0.94 vs 2YPL,226,66.66666666666667,1I4F,False
7PBE,Class I,7N1F,89.4047619047619,67.61904761904762,90.0,100.0,100.0,79.06976744186046,91.34615384615384,96.36363636363636,79.06976744186046,Vb>=95:3VXR(96.4),True,7N1F,67.61904761904762,True,True,True,False,100.0,2021-08-02,2022-04-27,False,0.95303,7N1F,4,True,0.95303,7N1F,True,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C33,1,Exclude—high TCR redundancy,rule 2 Vb>=95:3VXR(96.4); rule 3 all-chain>40% vs 7N1F (min 68%); rule 5 TM 0.95 vs 7N1F,226,100.0,7MKB,True
7PDW,Class I,6AMU,74.63826681557241,89.62264150943396,64.48598130841121,44.44444444444444,100.0,76.6355140186916,92.45283018867924,94.39252336448598,84.11214953271028,,False,6AMU,44.44444444444444,True,False,True,True,100.0,2021-08-09,2022-08-03,False,0.93793,7N1F,4,True,0.93793,7N1F,True,False,"similar TCR, other pMHC; same MHC, other peptide",C08,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6AMU (min 44%); rule 5 TM 0.94 vs 7N1F,226,66.66666666666667,1I4F,False
7PHR,Class I,5EU6,72.77000635843402,53.46534653465346,37.61467889908257,100.0,100.0,45.23809523809524,91.08910891089108,93.57798165137616,70.47619047619048,,False,5IVX,40.59405940594059,True,True,True,False,100.0,2021-08-18,2022-08-31,False,0.94095,5NQK,4,True,0.94095,5NQK,True,False,"same/similar pMHC; same MHC, other peptide",C34,1,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 5IVX (min 41%); rule 5 TM 0.94 vs 5NQK,226,88.88888888888889,5EU3,False
7Q99,Class I,3HG1,82.5,100.0,100.0,30.0,100.0,100.0,100.0,100.0,100.0,concat>=90:3HG1(100.0); Va>=95:3HG1(100.0); Vb>=95:3HG1(100.0),True,,,False,False,True,True,100.0,2021-11-12,2023-02-22,False,0.99034,3HG1,4,True,0.99034,3HG1,True,False,"similar TCR, other pMHC; same MHC, other peptide",C20,2,Exclude—high TCR redundancy,rule 2 concat>=90:3HG1(100.0); Va>=95:3HG1(100.0); Vb>=95:3HG1(100.0); rule 5 TM 0.99 vs 3HG1,226,66.66666666666667,1EEZ,False
7Q9A,Class I,3HG1,90.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,concat>=90:3HG1(100.0); Va>=95:3HG1(100.0); Vb>=95:3HG1(100.0),True,3HG1,60.0,True,False,True,False,100.0,2021-11-12,2023-02-22,False,0.98074,3HG1,4,True,0.98074,3HG1,True,False,"same MHC, other peptide",C20,2,Exclude—high TCR redundancy,rule 2 concat>=90:3HG1(100.0); Va>=95:3HG1(100.0); Vb>=95:3HG1(100.0); rule 3 all-chain>40% vs 3HG1 (min 60%); rule 5 TM 0.98 vs 3HG1,226,66.66666666666667,1JHT,False
7Q9B,Class I,5E9D,92.19100140056022,92.15686274509804,86.60714285714286,90.0,100.0,89.25233644859813,94.11764705882354,95.49549549549548,92.99065420560748,concat>=90:4FTV(93.0); Vb>=95:1BD2(95.5),True,5E9D,86.60714285714286,True,True,True,True,100.0,2021-11-12,2023-02-22,False,0.96651,6TMO,4,True,0.96651,6TMO,True,True,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C09,3,Exclude—complete-complex similarity,rule 2 concat>=90:4FTV(93.0); Vb>=95:1BD2(95.5); rule 3 all-chain>40% vs 5E9D (min 87%); rule 5 TM 0.97 vs 6TMO,226,100.0,2GT9,True
7QPJ,Class I,6AMU,75.66319383216756,87.73584905660377,71.02803738317758,44.44444444444444,99.44444444444444,78.97196261682242,90.56603773584904,88.78504672897196,85.04672897196262,,False,6AMU,44.44444444444444,True,False,True,True,100.0,2022-01-04,2022-08-03,False,0.92714,5NHT,4,True,0.92714,5NHT,True,False,"similar TCR, other pMHC; same MHC, other peptide",C08,3,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6AMU (min 44%); rule 5 TM 0.93 vs 5NHT,226,66.66666666666667,1I4F,False
7R80,Class I,2BNQ,67.47865394274234,88.88888888888889,90.9090909090909,11.11111111111111,79.00552486187846,89.49771689497717,90.74074074074076,96.3963963963964,89.49771689497717,Vb>=95:3GSN(96.4),True,,,False,False,True,True,97.22222222222224,2021-06-25,2022-06-29,False,0.87529,5JZI,3,False,0.87328,1G6R,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C03,5,Exclude—high TCR redundancy,rule 2 Vb>=95:3GSN(96.4),53,100.0,5IM7,True
7RDV,Class II,6DFW,74.94509920703096,87.96296296296296,88.07339449541284,16.666666666666668,91.01123595505618,88.0184331797235,87.96296296296296,92.6605504587156,88.0184331797235,,False,,,False,False,False,True,91.01123595505618,2021-07-11,2022-07-27,False,0.89178,6R0E,4,False,0.8028,3QIU,False,False,"similar TCR, other pMHC",C35,1,Retain—temporally blind with partial prior,,9,16.666666666666668,1F3J,False
7RK7,Class I,6AVF,61.86192448832899,87.96296296296296,56.36363636363637,22.22222222222222,80.89887640449439,72.01834862385321,91.2621359223301,89.0909090909091,72.01834862385321,,False,,,False,False,True,False,100.0,2021-07-22,2022-11-02,False,0.81529,2BNQ,4,True,0.81529,2BNQ,False,False,"same MHC, other peptide",C36,1,Retain—temporally blind with partial prior,,226,44.44444444444444,3FQN,False
7RM4,Class I,6VQO,67.33978638184246,35.714285714285715,33.64485981308411,100.0,100.0,34.70319634703196,39.42307692307692,37.38317757009346,35.321100917431195,,False,,,False,True,True,False,100.0,2021-07-26,2022-02-09,False,0.90421,5TEZ,4,False,0.48674,6R2L,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C37,1,Retain—temporally blind with partial prior,,226,100.0,6VR5,True
7RRG,Class I,6AVG,63.12936286346345,92.23300970873788,43.24324324324324,33.333333333333336,83.70786516853933,66.82242990654206,92.23300970873788,93.69369369369367,66.82242990654206,,False,,,False,False,True,False,96.13259668508287,2021-08-09,2022-03-23,False,0.8623,2BNR,3,False,0.84843,2UWE,False,False,"same MHC, other peptide",C38,1,Retain—temporally blind with partial prior,,19,33.333333333333336,3RL1,False
7RTR,Class I,7N1F,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,concat>=90:7N1F(100.0); Va>=95:7N1F(100.0); Vb>=95:7N1F(100.0),True,7N1F,100.0,True,True,True,True,100.0,2021-08-14,2021-10-13,False,0.98888,7N1F,4,True,0.98888,7N1F,True,True,"same/similar pMHC; binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C21,2,Exclude—complete-complex similarity,rule 2 concat>=90:7N1F(100.0); Va>=95:7N1F(100.0); Vb>=95:7N1F(100.0); rule 3 all-chain>40% vs 7N1F (min 100%); rule 5 TM 0.99 vs 7N1F,226,100.0,7MKB,True
7SG0,Class II,6PY2,77.48996914355597,90.74074074074076,63.30275229357798,45.45454545454545,93.97590361445783,76.95852534562212,92.5925925925926,91.74311926605505,76.95852534562212,,False,6U3N,45.87155963302752,True,False,True,False,100.0,2021-10-04,2022-02-23,False,0.83729,6R0E,4,False,0.82856,3QIW,False,False,"same MHC, other peptide",C39,1,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 6U3N (min 46%),6,72.72727272727273,1S9V,False
7SG1,Class II,4OZI,88.00915750915752,92.38095238095238,55.35714285714285,92.3076923076923,100.0,73.27188940092167,92.38095238095238,56.25,73.27188940092167,,False,4OZI,55.35714285714285,True,True,False,False,100.0,2021-10-04,2022-02-23,False,0.82394,2Z31,5,True,0.82394,2Z31,False,False,"same/similar pMHC; binary pMHC, no ternary",C22,2,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 4OZI (min 55%),6,90.9090909090909,1S9V,True
7SG2,Class II,4OZI,86.47069597069597,92.38095238095238,55.35714285714285,84.61538461538461,100.0,73.27188940092167,92.38095238095238,56.25,73.27188940092167,,False,4OZI,55.35714285714285,True,False,True,False,100.0,2021-10-04,2022-02-23,False,0.84884,6R0E,4,False,0.81405,6U3N,False,False,"same MHC, other peptide",C22,2,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 4OZI (min 55%),6,72.72727272727273,1S9V,False
7SU9,Class I,6ULR,96.94444444444446,100.0,100.0,88.88888888888889,98.88888888888889,100.0,100.0,100.0,100.0,concat>=90:6ULR(100.0); Va>=95:6ULN(100.0); Vb>=95:6ULR(100.0),True,6ULN,88.88888888888889,True,False,False,False,98.88888888888889,2021-11-16,2022-06-08,False,0.82197,1KJ2,3,False,0.81437,5WLG,False,True,"binary pMHC, no ternary",C40,1,Exclude—complete-complex similarity,rule 2 concat>=90:6ULR(100.0); Va>=95:6ULN(100.0); Vb>=95:6ULR(100.0); rule 3 all-chain>40% vs 6ULN (min 89%),7,100.0,6JTO,True
7T2B,Class II,4P4K,56.03540983975766,33.65384615384615,37.03703703703704,18.181818181818183,95.65217391304348,35.37735849056604,92.23300970873788,93.51851851851852,67.45283018867924,,False,,,False,False,True,False,95.65217391304348,2021-12-03,2022-12-28,False,0.84481,1ZGL,5,True,0.84481,1ZGL,False,False,"same MHC, other peptide",C41,1,Retain—temporally blind with partial prior,,6,0.0,,False
7T2C,Class II,4OZI,63.42243151107717,93.39622641509432,93.75,8.333333333333334,60.81629890347909,91.89189189189187,93.39622641509432,93.75,91.89189189189187,concat>=90:4OZI(91.9),True,,,False,False,True,True,97.19101123595506,2021-12-03,2022-12-28,False,0.847,6R0E,4,False,0.69775,4C56,False,False,"similar TCR, other pMHC; same MHC, other peptide",C42,1,Exclude—high TCR redundancy,rule 2 concat>=90:4OZI(91.9),6,0.0,,False
7T2D,Class II,4P4K,59.51928194130029,40.36697247706422,45.71428571428572,18.181818181818183,96.66666666666666,42.99065420560748,51.37614678899082,95.23809523809524,66.82242990654206,Vb>=95:6PX6(95.2),True,,,False,False,True,False,96.66666666666666,2021-12-03,2022-12-28,False,0.79402,6R0E,4,False,0.77602,1ZGL,False,False,"same MHC, other peptide",C43,1,Exclude—high TCR redundancy,rule 2 Vb>=95:6PX6(95.2),6,0.0,,False
7Z50,Class II,6DFW,68.20158359845703,93.45794392523364,35.77981651376147,15.384615384615383,98.19277108433737,64.0552995391705,93.45794392523364,59.25925925925926,64.0552995391705,,False,,,False,False,True,False,98.19277108433737,2022-03-06,2022-07-20,False,0.89643,6R0E,5,True,0.89643,6R0E,False,False,"same MHC, other peptide",C44,1,Retain—temporally blind with partial prior,,9,7.6923076923076925,1F3J,False
8CX4,Class I,5EU6,62.77554551035214,92.72727272727272,52.72727272727273,22.22222222222222,83.42541436464089,72.72727272727273,92.72727272727272,92.7927927927928,75.79908675799086,,False,,,False,False,True,False,99.4475138121547,2022-05-19,2022-12-07,False,0.90139,6VQO,3,False,0.87097,2YPL,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,33.333333333333336,6PYJ,False
8D5Q,Class I,1FO0,64.61524337097731,36.03603603603604,91.74311926605505,50.0,80.68181818181819,63.06306306306306,68.86792452830188,93.69369369369367,63.06306306306306,,False,,,False,False,True,False,99.4318181818182,2022-06-05,2022-09-14,False,0.89724,2OL3,4,True,0.89724,2OL3,False,False,"same MHC, other peptide",C45,1,Retain—temporally blind with partial prior,,7,44.44444444444444,1LD9,False
8DNT,Class I,6RP9,73.07071222165561,88.67924528301887,70.27027027027027,33.333333333333336,100.0,79.26267281105991,91.50943396226415,90.09009009009009,79.26267281105991,,False,,,False,False,True,False,100.0,2022-07-11,2023-07-19,False,0.92644,5NQK,4,True,0.92644,5NQK,True,False,"binary pMHC, no ternary; same MHC, other peptide",C09,3,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.93 vs 5NQK,226,100.0,7KGQ,True
8EN8,Class I,3O4L,59.76219371243643,56.310679611650485,91.07142857142856,11.11111111111111,80.55555555555556,74.4186046511628,88.07339449541284,91.07142857142856,74.4186046511628,,False,,,False,False,True,False,100.0,2022-09-29,2024-03-27,False,0.88826,5M00,3,False,0.88031,6BJ3,False,False,"binary pMHC, no ternary; same MHC, other peptide",C10,3,Combine with another target as one cluster,,65,100.0,3LKP,True
