a,b,tcr_concat,tcra,tcrb,mhc,peptide,same_allele,pep_mismatches,paired_variant
8GVB,8GVI,99.09909909909909,99.0909090909091,99.10714285714286,100.0,100.0,True,0.0,False
8GVG,8GVI,99.09909909909909,99.0909090909091,99.10714285714286,100.0,87.5,True,1.0,True
7N2N,7N2O,100.0,100.0,100.0,100.0,33.333333333333336,True,6.0,False
7N2N,7N2P,93.54838709677419,89.62264150943396,97.29729729729729,100.0,22.22222222222222,True,7.0,False
7N2N,7N2Q,93.54838709677419,89.62264150943396,97.29729729729729,100.0,33.333333333333336,True,6.0,False
7N2N,7N2R,93.54838709677419,89.62264150943396,97.29729729729729,100.0,100.0,True,0.0,False
7N2N,7N2S,94.14414414414415,89.1891891891892,99.09909909909909,100.0,100.0,True,0.0,False
7N2N,8CX4,93.27354260089686,88.39285714285714,98.1981981981982,100.0,33.333333333333336,True,6.0,False
7N2N,8RYP,91.78082191780823,89.90825688073394,93.63636363636364,85.0828729281768,11.11111111111111,False,8.0,False
7N2N,8RYQ,91.78082191780823,89.90825688073394,93.63636363636364,85.0,11.11111111111111,False,8.0,False
7N2N,9PBG,90.5829596412556,84.82142857142857,96.3963963963964,100.0,33.333333333333336,True,6.0,False
7N2N,9PBH,90.5829596412556,84.82142857142857,96.3963963963964,100.0,44.44444444444444,True,5.0,False
7N2O,7N2P,93.54838709677419,89.62264150943396,97.29729729729729,100.0,44.44444444444444,True,5.0,False
7N2O,7N2Q,93.54838709677419,89.62264150943396,97.29729729729729,100.0,100.0,True,0.0,False
7N2O,7N2R,93.54838709677419,89.62264150943396,97.29729729729729,100.0,33.333333333333336,True,6.0,False
7N2O,7N2S,94.14414414414415,89.1891891891892,99.09909909909909,100.0,33.333333333333336,True,6.0,False
7N2O,8CX4,93.27354260089686,88.39285714285714,98.1981981981982,100.0,100.0,True,0.0,False
7N2O,8RYP,91.78082191780823,89.90825688073394,93.63636363636364,85.0828729281768,11.11111111111111,False,8.0,False
7N2O,8RYQ,91.78082191780823,89.90825688073394,93.63636363636364,85.0,11.11111111111111,False,8.0,False
7N2O,9PBG,90.5829596412556,84.82142857142857,96.3963963963964,100.0,100.0,True,0.0,False
7N2O,9PBH,90.5829596412556,84.82142857142857,96.3963963963964,100.0,33.333333333333336,True,6.0,False
7N2P,7N2Q,100.0,100.0,100.0,100.0,44.44444444444444,True,5.0,False
7N2P,7N2R,100.0,100.0,100.0,100.0,22.22222222222222,True,7.0,False
7N2P,7N2S,94.93087557603687,91.50943396226415,98.1981981981982,100.0,22.22222222222222,True,7.0,False
7N2P,8CX4,94.93087557603687,90.56603773584905,99.09909909909909,100.0,44.44444444444444,True,5.0,False
7N2P,8RYP,91.70506912442396,91.50943396226415,92.72727272727273,85.0828729281768,0.0,False,9.0,False
7N2P,8RYQ,91.70506912442396,91.50943396226415,92.72727272727273,85.0,0.0,False,9.0,False
7N2P,9PBG,94.00921658986175,88.67924528301887,99.09909909909909,100.0,44.44444444444444,True,5.0,False
7N2P,9PBH,94.00921658986175,88.67924528301887,99.09909909909909,100.0,22.22222222222222,True,7.0,False
7N2Q,7N2R,100.0,100.0,100.0,100.0,33.333333333333336,True,6.0,False
7N2Q,7N2S,94.93087557603687,91.50943396226415,98.1981981981982,100.0,33.333333333333336,True,6.0,False
7N2Q,8CX4,94.93087557603687,90.56603773584905,99.09909909909909,100.0,100.0,True,0.0,False
7N2Q,8RYP,91.70506912442396,91.50943396226415,92.72727272727273,85.0828729281768,11.11111111111111,False,8.0,False
7N2Q,8RYQ,91.70506912442396,91.50943396226415,92.72727272727273,85.0,11.11111111111111,False,8.0,False
7N2Q,9PBG,94.00921658986175,88.67924528301887,99.09909909909909,100.0,100.0,True,0.0,False
7N2Q,9PBH,94.00921658986175,88.67924528301887,99.09909909909909,100.0,33.333333333333336,True,6.0,False
7N2R,7N2S,94.93087557603687,91.50943396226415,98.1981981981982,100.0,100.0,True,0.0,False
7N2R,8CX4,94.93087557603687,90.56603773584905,99.09909909909909,100.0,33.333333333333336,True,6.0,False
7N2R,8RYP,91.70506912442396,91.50943396226415,92.72727272727273,85.0828729281768,11.11111111111111,False,8.0,False
7N2R,8RYQ,91.70506912442396,91.50943396226415,92.72727272727273,85.0,11.11111111111111,False,8.0,False
7N2R,9PBG,94.00921658986175,88.67924528301887,99.09909909909909,100.0,33.333333333333336,True,6.0,False
7N2R,9PBH,94.00921658986175,88.67924528301887,99.09909909909909,100.0,44.44444444444444,True,5.0,False
7N2S,8CX4,98.64864864864865,98.1981981981982,99.09909909909909,100.0,33.333333333333336,True,6.0,False
7N2S,8RYP,92.69406392694064,91.74311926605505,93.63636363636364,85.0828729281768,11.11111111111111,False,8.0,False
7N2S,8RYQ,92.69406392694064,91.74311926605505,93.63636363636364,85.0,11.11111111111111,False,8.0,False
7N2S,9PBG,96.84684684684684,96.3963963963964,97.29729729729729,100.0,33.333333333333336,True,6.0,False
7N2S,9PBH,96.84684684684684,96.3963963963964,97.29729729729729,100.0,44.44444444444444,True,5.0,False
8CX4,8RYP,93.15068493150685,92.66055045871559,93.63636363636364,85.0828729281768,11.11111111111111,False,8.0,False
8CX4,8RYQ,93.15068493150685,92.66055045871559,93.63636363636364,85.0,11.11111111111111,False,8.0,False
8CX4,9PBG,96.8609865470852,95.53571428571429,98.1981981981982,100.0,100.0,True,0.0,False
8CX4,9PBH,96.8609865470852,95.53571428571429,98.1981981981982,100.0,33.333333333333336,True,6.0,False
7Q99,7Q9A,100.0,100.0,100.0,100.0,30.0,True,7.0,False
7Q9B,8DNT,63.08411214953271,95.09803921568627,34.234234234234236,100.0,11.11111111111111,True,,False
7Q9B,9NDS,92.99065420560747,93.13725490196079,92.85714285714286,100.0,11.11111111111111,True,,False
8GOM,8GON,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8I5C,9IKY,99.53488372093024,100.0,99.08256880733946,100.0,100.0,True,0.0,False
8EN8,8ENH,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8EN8,8EO8,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8ENH,8EO8,100.0,100.0,100.0,100.0,77.77777777777777,True,2.0,True
8WTE,8WUL,99.08675799086758,100.0,98.21428571428571,100.0,100.0,True,0.0,False
8VCX,8VCY,100.0,100.0,100.0,100.0,66.66666666666667,True,5.0,False
8VCX,8VD2,91.58878504672897,90.56603773584905,92.5925925925926,100.0,78.57142857142857,True,,False
8VCY,8VD2,91.58878504672897,90.56603773584905,92.5925925925926,100.0,71.42857142857143,True,,False
8YE4,8RJ5,94.93087557603687,90.74074074074075,99.08256880733946,100.0,100.0,True,0.0,False
8YE4,28IL,94.93087557603687,90.74074074074075,99.08256880733946,100.0,100.0,True,0.0,False
8RYM,8RYN,100.0,100.0,100.0,96.11111111111111,100.0,False,0.0,False
8RYM,8RYO,98.62385321100918,97.19626168224299,100.0,100.0,100.0,True,0.0,False
8RYN,8RYO,98.62385321100918,97.19626168224299,100.0,96.11111111111111,100.0,False,0.0,False
8RYP,8RYQ,99.08675799086758,98.1651376146789,100.0,96.11111111111111,100.0,False,0.0,False
8RYP,9PBG,92.23744292237443,90.8256880733945,93.63636363636364,85.0828729281768,11.11111111111111,False,8.0,False
8RYP,9PBH,92.23744292237443,90.8256880733945,93.63636363636364,85.0828729281768,11.11111111111111,False,8.0,False
8RYQ,9PBG,92.23744292237443,90.8256880733945,93.63636363636364,85.0,11.11111111111111,False,8.0,False
8RYQ,9PBH,92.23744292237443,90.8256880733945,93.63636363636364,85.0,11.11111111111111,False,8.0,False
8RLT,8RLU,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8RLT,8RLV,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8RLU,8RLV,100.0,100.0,100.0,100.0,77.77777777777777,True,2.0,True
8YIV,8YJ2,100.0,100.0,100.0,100.0,90.0,True,1.0,True
8V4Z,8V50,100.0,100.0,100.0,100.0,77.77777777777777,True,2.0,True
8V4Z,8V51,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8V50,8V51,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
8RJ5,28IL,100.0,100.0,100.0,100.0,100.0,True,0.0,False
9EJG,9EJH,100.0,100.0,100.0,99.39024390243902,20.0,True,,False
9EJG,9EJI,100.0,100.0,100.0,93.90243902439025,40.0,True,,False
9EJH,9EJI,100.0,100.0,100.0,93.90243902439025,25.0,True,,False
9RU5,9RUP,100.0,100.0,100.0,100.0,100.0,True,0.0,False
9RU5,9RXM,64.01869158878505,29.12621359223301,96.3963963963964,100.0,100.0,True,0.0,False
9RUP,9RXM,64.01869158878505,29.12621359223301,96.3963963963964,100.0,100.0,True,0.0,False
9NMU,9NMV,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9NMU,9NMW,99.06103286384976,98.07692307692308,100.0,100.0,100.0,True,0.0,False
9NMU,9NMX,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9NMU,9NMY,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9NMV,9NMW,99.06103286384976,98.07692307692308,100.0,100.0,100.0,True,0.0,False
9NMV,9NMX,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9NMV,9NMY,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9NMW,9NMX,99.06103286384976,98.07692307692308,100.0,100.0,100.0,True,0.0,False
9NMW,9NMY,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9NMX,9NMY,99.53051643192488,99.03846153846153,100.0,100.0,100.0,True,0.0,False
9PBG,9PBH,100.0,100.0,100.0,100.0,33.333333333333336,True,6.0,False
9WC2,9WC3,100.0,100.0,100.0,100.0,88.88888888888889,True,1.0,True
9NU7,9NV2,99.10714285714286,100.0,98.18181818181819,100.0,100.0,True,0.0,False
9NU7,9NV6,99.55357142857143,100.0,99.0909090909091,100.0,100.0,True,0.0,False
9NU7,9NVE,98.66071428571429,99.12280701754386,98.18181818181819,100.0,100.0,True,0.0,False
9NV2,9NV6,99.5575221238938,100.0,99.10714285714286,100.0,100.0,True,0.0,False
9NV2,9NVE,99.11504424778761,99.12280701754386,99.10714285714286,100.0,100.0,True,0.0,False
9NV6,9NVE,99.11504424778761,99.12280701754386,99.10714285714286,100.0,100.0,True,0.0,False
