model,config,pdb_id,mhc_class,review_status,chain,chain_role,pdockq2,if_plddt,if_pae_norm,n_contacts,contacts_chains,mean_pdockq2,n_chains,global_dockq
AF3,af3-server,7DZM,Class I,READY,D,TCRb,0.8772,96.19,0.9767,46,ABC,0.8941,4,0.9292
AF3,af3-server,7DZN,Class I,READY,A,MHC,0.9167,97.35,0.9841,53,BCD,0.8757,4,0.9236
AF3,af3-server,7DZN,Class I,READY,B,peptide,0.9168,97.29,0.9848,41,ACD,0.8757,4,0.9236
AF3,af3-server,7DZN,Class I,READY,C,TCRa,0.8139,94.04,0.9691,42,ABD,0.8757,4,0.9236
AF3,af3-server,7DZN,Class I,READY,D,TCRb,0.8555,95.57,0.9727,50,ABC,0.8757,4,0.9236
AF3,af3-server,7L1D,Class I,READY,A,MHC,0.6733,91.81,0.9287,62,BCD,0.3971,4,0.5972
AF3,af3-server,7L1D,Class I,READY,B,peptide,0.5103,87.73,0.8947,51,ACD,0.3971,4,0.5972
AF3,af3-server,7L1D,Class I,READY,C,TCRa,0.2129,78.88,0.7912,52,ABD,0.3971,4,0.5972
AF3,af3-server,7L1D,Class I,READY,D,TCRb,0.1921,79.99,0.7593,57,ABC,0.3971,4,0.5972
AF3,af3-server,7N2N,Class I,READY,A,MHC,0.7992,93.97,0.9631,45,BCD,0.7253,4,0.3938
AF3,af3-server,7N2N,Class I,READY,B,peptide,0.7943,93.46,0.9661,41,ACD,0.7253,4,0.3938
AF3,af3-server,7N2N,Class I,READY,C,TCRa,0.5977,88.18,0.9319,52,ABD,0.7253,4,0.3938
AF3,af3-server,7N2N,Class I,READY,D,TCRb,0.7102,91.3,0.9505,56,ABC,0.7253,4,0.3938
AF3,af3-server,7N2O,Class I,READY,A,MHC,0.8319,95.22,0.9654,65,BCD,0.7561,4,0.8083
AF3,af3-server,7N2O,Class I,READY,B,peptide,0.8737,95.84,0.9785,50,ACD,0.7561,4,0.8083
AF3,af3-server,7N2O,Class I,READY,C,TCRa,0.5824,88.17,0.9248,89,ABD,0.7561,4,0.8083
AF3,af3-server,7N2O,Class I,READY,D,TCRb,0.7365,92.05,0.9545,66,ABC,0.7561,4,0.8083
AF3,af3-server,7N2P,Class I,READY,A,MHC,0.4126,88.73,0.835,50,BCD,0.3234,4,0.6983
AF3,af3-server,7N2P,Class I,READY,B,peptide,0.3727,85.61,0.8426,46,ACD,0.3234,4,0.6983
AF3,af3-server,7N2P,Class I,READY,C,TCRa,0.2541,79.38,0.8231,63,ABD,0.3234,4,0.6983
AF3,af3-server,7N2P,Class I,READY,D,TCRb,0.2543,79.6,0.821,59,ABC,0.3234,4,0.6983
AF3,af3-server,7N2Q,Class I,READY,A,MHC,0.3329,87.47,0.8008,53,BCD,0.2514,4,0.7145
AF3,af3-server,7N2Q,Class I,READY,B,peptide,0.3576,85.38,0.8358,47,ACD,0.2514,4,0.7145
AF3,af3-server,7N2Q,Class I,READY,C,TCRa,0.1709,76.93,0.7653,61,ABD,0.2514,4,0.7145
AF3,af3-server,7N2Q,Class I,READY,D,TCRb,0.1442,75.32,0.7466,61,ABC,0.2514,4,0.7145
AF3,af3-server,7N2R,Class I,READY,A,MHC,0.1413,87.79,0.6369,49,BCD,0.1419,4,0.6743
AF3,af3-server,7N2R,Class I,READY,B,peptide,0.2754,86.28,0.773,37,ACD,0.1419,4,0.6743
AF3,af3-server,7N2R,Class I,READY,C,TCRa,0.0914,73.82,0.6671,52,ABD,0.1419,4,0.6743
AF3,af3-server,7N2R,Class I,READY,D,TCRb,0.0597,70.56,0.6063,58,ABC,0.1419,4,0.6743
AF3,af3-server,7N2S,Class I,READY,A,MHC,0.2811,85.9,0.7806,35,BCD,0.2377,4,0.4488
AF3,af3-server,7N2S,Class I,READY,B,peptide,0.3756,85.76,0.8428,32,ACD,0.2377,4,0.4488
AF3,af3-server,7N2S,Class I,READY,C,TCRa,0.1784,73.18,0.8139,34,ABD,0.2377,4,0.4488
AF3,af3-server,7N2S,Class I,READY,D,TCRb,0.1156,74.07,0.7132,47,ABC,0.2377,4,0.4488
AF3,af3-server,7N4K,Class I,READY,A,MHC,0.5159,90.84,0.8668,52,BCD,0.3904,4,0.8061
AF3,af3-server,7N4K,Class I,READY,B,peptide,0.4758,89.61,0.8592,52,ACD,0.3904,4,0.8061
AF3,af3-server,7N4K,Class I,READY,C,TCRa,0.1768,77.59,0.7658,42,ABD,0.3904,4,0.8061
AF3,af3-server,7N4K,Class I,READY,D,TCRb,0.3931,86.71,0.8436,38,ABC,0.3904,4,0.8061
AF3,af3-server,7N5C,Class I,READY,A,MHC,0.8835,96.19,0.9797,54,BCD,0.7553,4,0.8988
AF3,af3-server,7N5C,Class I,READY,B,peptide,0.8862,96.53,0.9775,56,ACD,0.7553,4,0.8988
AF3,af3-server,7N5C,Class I,READY,C,TCRa,0.5952,88.16,0.9309,40,ABD,0.7553,4,0.8988
AF3,af3-server,7N5C,Class I,READY,D,TCRb,0.6562,90.38,0.9357,46,ABC,0.7553,4,0.8988
AF3,af3-server,7N5P,Class I,READY,A,MHC,0.4669,91.0,0.8417,53,BCD,0.3335,4,0.7594
AF3,af3-server,7N5P,Class I,READY,B,peptide,0.4375,90.39,0.8326,56,ACD,0.3335,4,0.7594
AF3,af3-server,7N5P,Class I,READY,C,TCRa,0.1027,72.9,0.6998,47,ABD,0.3335,4,0.7594
AF3,af3-server,7N5P,Class I,READY,D,TCRb,0.3271,83.93,0.8307,38,ABC,0.3335,4,0.7594
AF3,af3-server,7NA5,Class I,READY,A,MHC,0.473,89.78,0.8562,56,BCD,0.5602,4,0.5197
AF3,af3-server,7NA5,Class I,READY,B,peptide,0.7079,90.67,0.9561,38,ACD,0.5602,4,0.5197
AF3,af3-server,7NA5,Class I,READY,C,TCRa,0.492,87.49,0.8882,63,ABD,0.5602,4,0.5197
AF3,af3-server,7NA5,Class I,READY,D,TCRb,0.5678,88.96,0.9098,57,ABC,0.5602,4,0.5197
AF3,af3-server,7NDQ,Class I,READY,A,MHC,0.7798,93.26,0.9615,58,BCD,0.6511,4,0.5765
AF3,af3-server,7NDQ,Class I,READY,B,peptide,0.8291,95.39,0.9623,47,ACD,0.6511,4,0.5765
AF3,af3-server,7NDQ,Class I,READY,C,TCRa,0.376,84.54,0.8552,58,ABD,0.6511,4,0.5765
AF3,af3-server,7NDQ,Class I,READY,D,TCRb,0.6194,90.75,0.9154,55,ABC,0.6511,4,0.5765
AF3,af3-server,7NDT,Class I,READY,A,MHC,0.509,87.43,0.8972,57,BCD,0.4032,4,0.6765
AF3,af3-server,7NDT,Class I,READY,B,peptide,0.3634,81.83,0.8757,44,ACD,0.4032,4,0.6765
AF3,af3-server,7NDT,Class I,READY,C,TCRa,0.2568,78.69,0.8326,60,ABD,0.4032,4,0.6765
AF3,af3-server,7NDT,Class I,READY,D,TCRb,0.4833,87.12,0.8876,55,ABC,0.4032,4,0.6765
AF3,af3-server,7NDU,Class I,READY,A,MHC,0.8814,96.25,0.9781,60,BCD,0.749,4,0.6714
AF3,af3-server,7NDU,Class I,READY,B,peptide,0.7971,94.19,0.9598,40,ACD,0.749,4,0.6714
AF3,af3-server,7NDU,Class I,READY,C,TCRa,0.5925,90.37,0.9069,63,ABD,0.749,4,0.6714
AF3,af3-server,7NDU,Class I,READY,D,TCRb,0.725,93.19,0.9378,61,ABC,0.749,4,0.6714
AF3,af3-server,7NME,Class I,READY,A,MHC,0.8884,96.5,0.9789,62,BCD,0.8515,4,0.7199
AF3,af3-server,7NME,Class I,READY,B,peptide,0.8706,95.87,0.9768,37,ACD,0.8515,4,0.7199
AF3,af3-server,7NME,Class I,READY,C,TCRa,0.7727,93.24,0.9586,67,ABD,0.8515,4,0.7199
AF3,af3-server,7NME,Class I,READY,D,TCRb,0.8741,96.14,0.9757,50,ABC,0.8515,4,0.7199
AF3,af3-server,7NMF,Class I,READY,A,MHC,0.8717,96.11,0.9748,61,BCD,0.8327,4,0.7068
AF3,af3-server,7NMF,Class I,READY,B,peptide,0.8496,95.48,0.9709,39,ACD,0.8327,4,0.7068
AF3,af3-server,7NMF,Class I,READY,C,TCRa,0.7495,92.81,0.9525,67,ABD,0.8327,4,0.7068
AF3,af3-server,7NMF,Class I,READY,D,TCRb,0.8599,95.82,0.9723,47,ABC,0.8327,4,0.7068
AF3,af3-server,7NMG,Class I,READY,A,MHC,0.9048,97.11,0.9807,57,BCD,0.8756,4,0.8637
AF3,af3-server,7NMG,Class I,READY,B,peptide,0.9011,96.95,0.9805,39,ACD,0.8756,4,0.8637
AF3,af3-server,7NMG,Class I,READY,C,TCRa,0.8013,94.13,0.9625,59,ABD,0.8756,4,0.8637
AF3,af3-server,7NMG,Class I,READY,D,TCRb,0.8951,96.87,0.9784,51,ABC,0.8756,4,0.8637
AF3,af3-server,7OW5,Class I,READY,A,MHC,0.9098,97.54,0.9788,81,BCD,0.7806,4,0.8625
AF3,af3-server,7OW5,Class I,READY,B,peptide,0.5661,89.83,0.9002,67,ACD,0.7806,4,0.8625
AF3,af3-server,7OW5,Class I,READY,C,TCRa,0.8508,95.87,0.9675,70,ABD,0.7806,4,0.8625
AF3,af3-server,7OW5,Class I,READY,D,TCRb,0.7958,94.74,0.9537,58,ABC,0.7806,4,0.8625
AF3,af3-server,7OW6,Class I,READY,A,MHC,0.8442,95.55,0.9677,76,BCD,0.6817,4,0.8592
AF3,af3-server,7OW6,Class I,READY,B,peptide,0.4822,86.33,0.8951,55,ACD,0.6817,4,0.8592
AF3,af3-server,7OW6,Class I,READY,C,TCRa,0.7637,93.22,0.9547,64,ABD,0.6817,4,0.8592
AF3,af3-server,7OW6,Class I,READY,D,TCRb,0.6365,90.12,0.9295,53,ABC,0.6817,4,0.8592
AF3,af3-server,7PB2,Class I,READY,A,MHC,0.082,91.5,0.5203,84,BCD,0.2171,4,0.3062
AF3,af3-server,7PB2,Class I,READY,B,peptide,0.5948,88.34,0.9288,37,A,0.2171,4,0.3062
AF3,af3-server,7PB2,Class I,READY,C,TCRa,0.0405,69.41,0.5302,79,AD,0.2171,4,0.3062
AF3,af3-server,7PB2,Class I,READY,D,TCRb,0.151,78.07,0.7293,48,AC,0.2171,4,0.3062
AF3,af3-server,7PBC,Class I,READY,A,MHC,0.9416,98.14,0.9887,53,BCD,0.8968,4,0.9041
AF3,af3-server,7PBC,Class I,READY,B,peptide,0.9275,97.84,0.9845,40,ACD,0.8968,4,0.9041
AF3,af3-server,7PBC,Class I,READY,C,TCRa,0.8976,97.0,0.9783,54,ABD,0.8968,4,0.9041
AF3,af3-server,7PBC,Class I,READY,D,TCRb,0.8206,94.58,0.9666,37,ABC,0.8968,4,0.9041
AF3,af3-server,7PBE,Class I,READY,A,MHC,0.9338,97.88,0.9873,60,BCD,0.9148,4,0.8819
AF3,af3-server,7PBE,Class I,READY,B,peptide,0.9281,97.81,0.9852,48,ACD,0.9148,4,0.8819
AF3,af3-server,7PBE,Class I,READY,C,TCRa,0.8949,96.71,0.9799,71,ABD,0.9148,4,0.8819
AF3,af3-server,7PBE,Class I,READY,D,TCRb,0.9025,96.8,0.9827,55,ABC,0.9148,4,0.8819
AF3,af3-server,7PDW,Class I,READY,A,MHC,0.9329,97.87,0.9869,55,BCD,0.8785,4,0.9173
AF3,af3-server,7PDW,Class I,READY,B,peptide,0.9184,97.65,0.9819,39,ACD,0.8785,4,0.9173
AF3,af3-server,7PDW,Class I,READY,C,TCRa,0.8892,96.75,0.9767,54,ABD,0.8785,4,0.9173
AF3,af3-server,7PDW,Class I,READY,D,TCRb,0.7736,93.55,0.9558,38,ABC,0.8785,4,0.9173
AF3,af3-server,7PHR,Class I,READY,A,MHC,0.9554,98.82,0.9889,63,BCD,0.9185,4,0.9087
AF3,af3-server,7PHR,Class I,READY,B,peptide,0.9448,98.68,0.9848,48,ACD,0.9185,4,0.9087
AF3,af3-server,7PHR,Class I,READY,C,TCRa,0.8645,97.3,0.9596,65,ABD,0.9185,4,0.9087
AF3,af3-server,7PHR,Class I,READY,D,TCRb,0.9094,97.79,0.9761,60,ABC,0.9185,4,0.9087
AF3,af3-server,7Q99,Class I,READY,A,MHC,0.8922,96.16,0.9842,66,BCD,0.7832,4,0.7727
AF3,af3-server,7Q99,Class I,READY,B,peptide,0.869,95.55,0.9793,58,ACD,0.7832,4,0.7727
AF3,af3-server,7Q99,Class I,READY,C,TCRa,0.809,93.74,0.9699,59,ABD,0.7832,4,0.7727
AF3,af3-server,7Q99,Class I,READY,D,TCRb,0.5627,87.66,0.9208,51,ABC,0.7832,4,0.7727
AF3,af3-server,7Q9A,Class I,READY,A,MHC,0.8328,94.54,0.9727,63,BCD,0.771,4,0.9037
AF3,af3-server,7Q9A,Class I,READY,B,peptide,0.8491,95.05,0.975,60,ACD,0.771,4,0.9037
AF3,af3-server,7Q9A,Class I,READY,C,TCRa,0.7713,92.55,0.9651,60,ABD,0.771,4,0.9037
AF3,af3-server,7Q9A,Class I,READY,D,TCRb,0.6307,89.51,0.9331,77,ABC,0.771,4,0.9037
AF3,af3-server,7Q9B,Class I,READY,A,MHC,0.9263,97.59,0.9865,53,BCD,0.8833,4,0.514
AF3,af3-server,7Q9B,Class I,READY,B,peptide,0.9252,97.78,0.984,51,ACD,0.8833,4,0.514
AF3,af3-server,7Q9B,Class I,READY,C,TCRa,0.8403,94.88,0.9727,47,ABD,0.8833,4,0.514
AF3,af3-server,7Q9B,Class I,READY,D,TCRb,0.8413,95.37,0.9681,55,ABC,0.8833,4,0.514
AF3,af3-server,7QPJ,Class I,READY,A,MHC,0.9403,98.15,0.9879,54,BCD,0.9149,4,0.8968
AF3,af3-server,7QPJ,Class I,READY,B,peptide,0.9315,98.12,0.9838,43,ACD,0.9149,4,0.8968
AF3,af3-server,7QPJ,Class I,READY,C,TCRa,0.916,97.71,0.9802,56,ABD,0.9149,4,0.8968
AF3,af3-server,7QPJ,Class I,READY,D,TCRb,0.8716,96.39,0.972,47,ABC,0.9149,4,0.8968
AF3,af3-server,7R80,Class I,READY,A,MHC,0.8946,96.77,0.9792,67,BCD,0.8479,4,0.7558
AF3,af3-server,7R80,Class I,READY,B,peptide,0.8742,95.97,0.9774,45,ACD,0.8479,4,0.7558
AF3,af3-server,7R80,Class I,READY,C,TCRa,0.832,94.64,0.9713,62,ABD,0.8479,4,0.7558
AF3,af3-server,7R80,Class I,READY,D,TCRb,0.7909,93.82,0.9608,68,ABC,0.8479,4,0.7558
AF3,af3-server,7RDV,Class II,READY,A,MHCa,0.6526,93.26,0.9052,140,BCDE,0.5738,5,0.4097
AF3,af3-server,7RDV,Class II,READY,B,peptide,0.1456,81.6,0.6908,68,ACDE,0.5738,5,0.4097
AF3,af3-server,7RDV,Class II,READY,C,MHCb,0.5637,92.73,0.8709,122,ABE,0.5738,5,0.4097
AF3,af3-server,7RDV,Class II,READY,D,TCRa,0.7886,94.76,0.9503,38,ABE,0.5738,5,0.4097
AF3,af3-server,7RDV,Class II,READY,E,TCRb,0.7187,93.01,0.9368,46,ABCD,0.5738,5,0.4097
AF3,af3-server,7RK7,Class I,READY,A,MHC,0.1463,90.8,0.6217,74,BCD,0.284,4,0.2385
AF3,af3-server,7RK7,Class I,READY,B,peptide,0.8633,95.15,0.9807,31,A,0.284,4,0.2385
AF3,af3-server,7RK7,Class I,READY,C,TCRa,0.0385,63.59,0.5664,74,AD,0.284,4,0.2385
AF3,af3-server,7RK7,Class I,READY,D,TCRb,0.0877,70.25,0.692,51,AC,0.284,4,0.2385
AF3,af3-server,7RM4,Class I,READY,A,MHC,0.1266,87.51,0.6195,68,BCD,0.2486,4,0.3363
AF3,af3-server,7RM4,Class I,READY,B,peptide,0.4984,86.56,0.9009,37,AD,0.2486,4,0.3363
AF3,af3-server,7RM4,Class I,READY,C,TCRa,0.1893,80.69,0.7499,55,AD,0.2486,4,0.3363
AF3,af3-server,7RM4,Class I,READY,D,TCRb,0.1803,81.9,0.7293,64,ABC,0.2486,4,0.3363
AF3,af3-server,7RRG,Class I,READY,A,MHC,0.1466,86.17,0.6555,64,BCD,0.1726,4,0.3214
AF3,af3-server,7RRG,Class I,READY,B,peptide,0.2813,84.9,0.7899,45,ACD,0.1726,4,0.3214
AF3,af3-server,7RRG,Class I,READY,C,TCRa,0.1274,73.37,0.7402,60,ABD,0.1726,4,0.3214
AF3,af3-server,7RRG,Class I,READY,D,TCRb,0.135,78.82,0.7005,83,ABC,0.1726,4,0.3214
AF3,af3-server,7RTR,Class I,READY,A,MHC,0.5749,90.8,0.8945,37,BCD,0.5922,4,0.5422
AF3,af3-server,7RTR,Class I,READY,B,peptide,0.612,88.67,0.9333,31,ACD,0.5922,4,0.5422
AF3,af3-server,7RTR,Class I,READY,C,TCRa,0.5641,89.37,0.9039,40,ABD,0.5922,4,0.5422
AF3,af3-server,7RTR,Class I,READY,D,TCRb,0.6177,90.66,0.9154,40,ABC,0.5922,4,0.5422
AF3,af3-server,7SG0,Class II,READY,A,MHCa,0.9065,97.39,0.9787,119,BCDE,0.8128,5,0.7347
AF3,af3-server,7SG0,Class II,READY,B,peptide,0.8258,95.48,0.9599,56,ACDE,0.8128,5,0.7347
AF3,af3-server,7SG0,Class II,READY,C,MHCb,0.9065,97.35,0.9791,98,ABDE,0.8128,5,0.7347
AF3,af3-server,7SG0,Class II,READY,D,TCRa,0.6483,91.15,0.9243,65,ABCE,0.8128,5,0.7347
AF3,af3-server,7SG0,Class II,READY,E,TCRb,0.7767,93.55,0.9572,70,ABCD,0.8128,5,0.7347
AF3,af3-server,7SG1,Class II,READY,A,MHCa,0.8708,96.55,0.97,110,BCE,0.777,5,0.3965
AF3,af3-server,7SG1,Class II,READY,B,peptide,0.6037,90.89,0.9068,56,ACD,0.777,5,0.3965
AF3,af3-server,7SG1,Class II,READY,C,MHCb,0.9007,97.41,0.9757,109,ABD,0.777,5,0.3965
AF3,af3-server,7SG1,Class II,READY,D,TCRa,0.8005,94.18,0.9615,55,BCE,0.777,5,0.3965
AF3,af3-server,7SG1,Class II,READY,E,TCRb,0.7096,92.28,0.9401,52,AD,0.777,5,0.3965
AF3,af3-server,7SG2,Class II,READY,A,MHCa,0.9216,98.01,0.9799,104,BCE,0.9031,5,0.7057
AF3,af3-server,7SG2,Class II,READY,B,peptide,0.8369,96.29,0.9568,55,ACDE,0.9031,5,0.7057
AF3,af3-server,7SG2,Class II,READY,C,MHCb,0.9207,97.97,0.9798,102,ABDE,0.9031,5,0.7057
AF3,af3-server,7SG2,Class II,READY,D,TCRa,0.9175,97.7,0.9809,61,BCE,0.9031,5,0.7057
AF3,af3-server,7SG2,Class II,READY,E,TCRb,0.9186,97.75,0.9811,66,ABCD,0.9031,5,0.7057
AF3,af3-server,7SU9,Class I,READY,A,MHC,0.8601,95.3,0.9776,54,BCD,0.7872,4,0.7699
AF3,af3-server,7SU9,Class I,READY,B,peptide,0.8292,94.66,0.9698,39,AC,0.7872,4,0.7699
AF3,af3-server,7SU9,Class I,READY,C,TCRa,0.7066,91.25,0.9494,76,ABD,0.7872,4,0.7699
AF3,af3-server,7SU9,Class I,READY,D,TCRb,0.753,92.66,0.9557,63,AC,0.7872,4,0.7699
AF3,af3-server,7T2B,Class II,READY,A,MHCa,0.8557,95.74,0.9711,117,BCDE,0.8018,5,0.8097
AF3,af3-server,7T2B,Class II,READY,B,peptide,0.704,92.74,0.933,70,ACDE,0.8018,5,0.8097
AF3,af3-server,7T2B,Class II,READY,C,MHCb,0.8705,96.23,0.973,96,ABDE,0.8018,5,0.8097
AF3,af3-server,7T2B,Class II,READY,D,TCRa,0.8236,94.89,0.9648,63,ABCE,0.8018,5,0.8097
AF3,af3-server,7T2B,Class II,READY,E,TCRb,0.7553,93.76,0.9454,70,ABCD,0.8018,5,0.8097
AF3,af3-server,7T2C,Class II,READY,A,MHCa,0.7272,92.97,0.941,112,BCDE,0.7642,5,0.782
AF3,af3-server,7T2C,Class II,READY,B,peptide,0.7855,94.39,0.9526,59,ACDE,0.7642,5,0.782
AF3,af3-server,7T2C,Class II,READY,C,MHCb,0.8148,95.79,0.9518,118,ABDE,0.7642,5,0.782
AF3,af3-server,7T2C,Class II,READY,D,TCRa,0.6865,91.61,0.9367,52,ABCE,0.7642,5,0.782
AF3,af3-server,7T2C,Class II,READY,E,TCRb,0.8073,94.43,0.962,47,ABCD,0.7642,5,0.782
AF3,af3-server,7T2D,Class II,READY,A,MHCa,0.8566,95.84,0.9705,117,BCE,0.7983,5,0.7516
AF3,af3-server,7T2D,Class II,READY,B,peptide,0.5618,90.14,0.8951,53,ACDE,0.7983,5,0.7516
AF3,af3-server,7T2D,Class II,READY,C,MHCb,0.8915,96.71,0.9783,85,ABD,0.7983,5,0.7516
AF3,af3-server,7T2D,Class II,READY,D,TCRa,0.8331,95.5,0.963,44,BCE,0.7983,5,0.7516
AF3,af3-server,7T2D,Class II,READY,E,TCRb,0.8486,95.77,0.9674,61,ABD,0.7983,5,0.7516
AF3,af3-server,7Z50,Class II,READY,A,MHCa,0.8968,97.5,0.9729,123,BCE,0.8447,5,0.7605
AF3,af3-server,7Z50,Class II,READY,B,peptide,0.8636,96.64,0.9657,74,ACDE,0.8447,5,0.7605
AF3,af3-server,7Z50,Class II,READY,C,MHCb,0.8837,97.4,0.9676,108,ABDE,0.8447,5,0.7605
AF3,af3-server,7Z50,Class II,READY,D,TCRa,0.7774,95.35,0.9394,41,BCE,0.8447,5,0.7605
AF3,af3-server,7Z50,Class II,READY,E,TCRb,0.8018,95.43,0.9495,50,ABCD,0.8447,5,0.7605
AF3,af3-server,8CX4,Class I,READY,A,MHC,0.3742,87.17,0.8283,55,BCD,0.3406,4,0.7974
AF3,af3-server,8CX4,Class I,READY,B,peptide,0.418,84.62,0.8786,40,ACD,0.3406,4,0.7974
AF3,af3-server,8CX4,Class I,READY,C,TCRa,0.2512,79.36,0.8208,52,ABD,0.3406,4,0.7974
AF3,af3-server,8CX4,Class I,READY,D,TCRb,0.3191,82.39,0.8409,55,ABC,0.3406,4,0.7974
AF3,af3-server,8D5Q,Class I,READY,A,MHC,0.8531,95.63,0.9709,56,BCD,0.8112,4,0.9285
AF3,af3-server,8D5Q,Class I,READY,B,peptide,0.8325,95.11,0.9667,51,ACD,0.8112,4,0.9285
AF3,af3-server,8D5Q,Class I,READY,C,TCRa,0.7475,93.17,0.9479,87,ABD,0.8112,4,0.9285
AF3,af3-server,8D5Q,Class I,READY,D,TCRb,0.8119,94.45,0.964,72,ABC,0.8112,4,0.9285
AF3,af3-server,8DNT,Class I,READY,A,MHC,0.8756,96.02,0.9777,51,BCD,0.8118,4,0.8122
AF3,af3-server,8DNT,Class I,READY,B,peptide,0.8441,95.54,0.9677,47,ACD,0.8118,4,0.8122
AF3,af3-server,8DNT,Class I,READY,C,TCRa,0.7292,92.75,0.944,60,ABD,0.8118,4,0.8122
AF3,af3-server,8DNT,Class I,READY,D,TCRb,0.7984,93.72,0.9653,46,ABC,0.8118,4,0.8122
AF3,af3-server,8EN8,Class I,READY,A,MHC,0.8867,96.79,0.9752,58,BCD,0.7921,4,0.905
AF3,af3-server,8EN8,Class I,READY,B,peptide,0.9034,96.79,0.9833,51,AD,0.7921,4,0.905
AF3,af3-server,8EN8,Class I,READY,C,TCRa,0.5763,88.64,0.917,45,AD,0.7921,4,0.905
AF3,af3-server,8EN8,Class I,READY,D,TCRb,0.8019,93.9,0.9651,60,ABC,0.7921,4,0.905
AF3,af3-server,8ENH,Class I,READY,A,MHC,0.1354,89.1,0.6201,59,BCD,0.1031,4,0.515
AF3,af3-server,8ENH,Class I,READY,B,peptide,0.1939,88.36,0.6891,51,ACD,0.1031,4,0.515
AF3,af3-server,8ENH,Class I,READY,C,TCRa,0.0427,72.46,0.5194,48,ABD,0.1031,4,0.515
AF3,af3-server,8ENH,Class I,READY,D,TCRb,0.0404,68.35,0.5378,44,ABC,0.1031,4,0.515
AF3,af3-server,8EO8,Class I,READY,A,MHC,0.2454,90.09,0.7187,54,BCD,0.1592,4,0.4549
