pdb_id,step,sigma,n_samples,ca_rmsd_to_final_mean,ca_rmsd_to_final_sd,ca_rmsd_to_native_mean,ca_rmsd_to_native_sd,ca_rmsd_step_delta_mean
7RTR,133,8.21574,5,6.7201,0.0532,7.0826,0.1202,8.2395
7RTR,134,7.68164,5,6.2911,0.1054,6.6400,0.1664,7.7303
7RTR,135,7.17757,5,5.8396,0.0607,6.2256,0.0775,7.1590
7RTR,136,6.70213,5,5.3952,0.1008,5.8229,0.1264,6.6598
7RTR,137,6.25395,5,5.0997,0.1399,5.4914,0.0658,6.1993
7RTR,138,5.8317,5,4.8102,0.1262,5.2687,0.0893,5.8166
7RTR,139,5.43412,5,4.4716,0.0844,4.9678,0.0947,5.4834
7RTR,140,5.06001,5,4.0939,0.0586,4.6867,0.0844,5.0611
7RTR,141,4.7082,5,3.8282,0.1094,4.4637,0.1629,4.6920
7RTR,142,4.37757,5,3.5142,0.0595,4.1958,0.1220,4.3069
7RTR,143,4.06704,5,3.3347,0.0613,4.0669,0.0789,4.0243
7RTR,144,3.77558,5,3.0304,0.0752,3.8551,0.0572,3.7505
7RTR,145,3.50222,5,2.8474,0.0312,3.7007,0.1109,3.4230
7RTR,146,3.246,5,2.6414,0.0269,3.5811,0.1602,3.1983
7RTR,147,3.00601,5,2.4527,0.0465,3.4645,0.1326,3.0320
7RTR,148,2.7814,5,2.2635,0.0174,3.2804,0.1766,2.7526
7RTR,149,2.57133,5,2.1172,0.0579,3.1992,0.2147,2.5631
7RTR,150,2.37501,5,1.9348,0.0189,3.0880,0.1889,2.3866
7RTR,151,2.19168,5,1.7695,0.0139,2.9831,0.1938,2.1794
7RTR,152,2.02061,5,1.5958,0.0350,2.8920,0.2425,1.9947
7RTR,153,1.86112,5,1.5061,0.0189,2.8821,0.2346,1.8149
7RTR,154,1.71255,5,1.3862,0.0187,2.7851,0.2257,1.7065
7RTR,155,1.57426,5,1.2922,0.0416,2.7635,0.2681,1.5643
7RTR,156,1.44565,5,1.1729,0.0457,2.7094,0.2816,1.4456
7RTR,157,1.32616,5,1.0729,0.0177,2.6664,0.2871,1.3121
7RTR,158,1.21523,5,0.9798,0.0261,2.6352,0.2959,1.2076
7RTR,159,1.11236,5,0.8793,0.0174,2.5867,0.2987,1.1111
7RTR,160,1.01704,5,0.7872,0.0230,2.5636,0.2714,0.9893
7RTR,161,0.928804,5,0.6850,0.0200,2.5329,0.2707,0.1025
7RTR,162,0.847218,5,0.5948,0.0174,2.5089,0.2698,0.0904
7RTR,163,0.771854,5,0.5155,0.0151,2.4903,0.2689,0.0795
7RTR,164,0.702309,5,0.4460,0.0130,2.4760,0.2681,0.0698
7RTR,165,0.638207,5,0.3850,0.0113,2.4650,0.2673,0.0612
7RTR,166,0.579186,5,0.3316,0.0097,2.4564,0.2665,0.0536
7RTR,167,0.524908,5,0.2850,0.0083,2.4499,0.2657,0.0469
7RTR,168,0.475048,5,0.2445,0.0071,2.4449,0.2650,0.0408
7RTR,169,0.429305,5,0.2093,0.0060,2.4411,0.2643,0.0355
7RTR,170,0.38739,5,0.1788,0.0051,2.4382,0.2637,0.0308
7RTR,171,0.349033,5,0.1525,0.0043,2.4360,0.2633,0.0266
7RTR,172,0.313979,5,0.1298,0.0036,2.4343,0.2628,0.0231
7RTR,173,0.281986,5,0.1103,0.0030,2.4330,0.2624,0.0199
7RTR,174,0.252829,5,0.0936,0.0025,2.4320,0.2620,0.0171
7RTR,175,0.226295,5,0.0792,0.0021,2.4313,0.2617,0.0147
7RTR,176,0.202186,5,0.0671,0.0017,2.4307,0.2615,0.0126
7RTR,177,0.180312,5,0.0567,0.0014,2.4303,0.2613,0.0108
7RTR,178,0.160499,5,0.0480,0.0012,2.4299,0.2611,0.0092
7RTR,179,0.142582,5,0.0406,0.0010,2.4297,0.2610,0.0079
7RTR,180,0.126407,5,0.0344,0.0009,2.4295,0.2609,0.0067
7RTR,181,0.111832,5,0.0291,0.0007,2.4293,0.2608,0.0058
7RTR,182,0.0987208,5,0.0246,0.0006,2.4292,0.2608,0.0049
7RTR,183,0.0869503,5,0.0209,0.0005,2.4291,0.2606,0.0042
7RTR,184,0.0764038,5,0.0178,0.0005,2.4290,0.2606,0.0036
7RTR,185,0.0669735,5,0.0151,0.0004,2.4290,0.2606,0.0031
7RTR,186,0.0585587,5,0.0128,0.0004,2.4289,0.2605,0.0027
7RTR,187,0.0510671,5,0.0108,0.0003,2.4289,0.2605,0.0025
7RTR,188,0.0444124,5,0.0091,0.0003,2.4289,0.2604,0.0021
7RTR,189,0.0385154,5,0.0077,0.0003,2.4288,0.2604,0.0019
7RTR,190,0.0333026,5,0.0065,0.0004,2.4288,0.2604,0.0016
7RTR,191,0.0287066,5,0.0055,0.0004,2.4288,0.2604,0.0015
7RTR,192,0.0246654,5,0.0045,0.0004,2.4288,0.2604,0.0014
7RTR,193,0.021122,5,0.0037,0.0004,2.4288,0.2604,0.0013
7RTR,194,0.0180242,5,0.0030,0.0003,2.4288,0.2604,0.0012
7RTR,195,0.0153242,5,0.0024,0.0002,2.4288,0.2604,0.0011
7RTR,196,0.0129786,5,0.0019,0.0002,2.4288,0.2604,0.0010
7RTR,197,0.0109477,5,0.0015,0.0001,2.4288,0.2604,0.0009
7RTR,198,0.00919558,5,0.0011,0.0001,2.4287,0.2604,0.0008
7RTR,199,0.00768951,5,0.0007,0.0000,2.4287,0.2604,0.0007
7RTR,200,0.00640001,5,0.0000,0.0000,2.4287,0.2604,0.0007
6ZKZ,1,2485.54,5,2500.6457,26.2418,2500.6692,26.1604,
6ZKZ,2,2412.94,5,2131.2073,52.3642,2131.1756,52.4297,2639.3014
6ZKZ,3,2342.16,5,2047.5380,40.3566,2047.4954,40.3280,2410.9330
6ZKZ,4,2273.18,5,1993.1054,19.3157,1993.0683,19.2919,2359.7139
6ZKZ,5,2205.94,5,1927.5100,47.3561,1927.5219,47.3892,2296.7011
6ZKZ,6,2140.41,5,1840.1105,39.3351,1840.0685,39.3087,2211.8277
6ZKZ,7,2076.56,5,1803.9638,12.1284,1803.9300,12.1223,2078.1439
6ZKZ,8,2014.35,5,1751.1380,30.4439,1751.1290,30.4819,2103.1045
6ZKZ,9,1953.74,5,1688.0903,37.8798,1688.0502,37.8958,1997.8343
6ZKZ,10,1894.71,5,1639.5322,27.3244,1639.4944,27.3558,1938.2809
6ZKZ,11,1837.2,5,1607.2764,27.3334,1607.2584,27.3082,1882.5679
6ZKZ,12,1781.21,5,1553.6907,44.7238,1553.6432,44.7575,1837.8543
6ZKZ,13,1726.68,5,1490.5047,11.9397,1490.5106,11.9521,1767.7718
6ZKZ,14,1673.58,5,1474.9689,15.7170,1474.9787,15.7582,1724.6259
6ZKZ,15,1621.9,5,1407.9204,19.9614,1407.8873,19.9185,1666.7995
6ZKZ,16,1571.58,5,1369.2536,24.3485,1369.2209,24.3580,1613.1132
6ZKZ,17,1522.62,5,1317.8312,15.8381,1317.8308,15.8521,1567.0150
6ZKZ,18,1474.96,5,1299.6207,35.5664,1299.6084,35.5647,1506.3159
6ZKZ,19,1428.59,5,1257.2945,21.6352,1257.2920,21.6148,1481.0016
6ZKZ,20,1383.47,5,1206.3899,17.3050,1206.3661,17.2534,1456.6794
6ZKZ,21,1339.59,5,1156.9232,26.8724,1156.9215,26.8472,1374.2256
6ZKZ,22,1296.9,5,1122.1858,17.8289,1122.1631,17.8367,1313.0179
6ZKZ,23,1255.38,5,1090.2369,13.1162,1090.2488,13.0944,1290.6467
6ZKZ,24,1215,5,1032.4429,15.1264,1032.4475,15.0556,1240.5165
6ZKZ,25,1175.75,5,1015.9765,15.6119,1015.9749,15.6227,1206.9856
6ZKZ,26,1137.58,5,973.6406,22.8683,973.5811,22.8362,1158.8281
6ZKZ,27,1100.49,5,980.8398,18.1732,980.7939,18.1342,1119.9629
6ZKZ,28,1064.43,5,921.6044,23.7004,921.5324,23.6724,1102.4522
6ZKZ,29,1029.39,5,899.0020,16.4171,898.9768,16.4183,1065.7024
6ZKZ,30,995.349,5,864.1405,10.9632,864.1523,10.9866,1039.4077
6ZKZ,31,962.275,5,832.3530,13.2320,832.3219,13.1826,988.6704
6ZKZ,32,930.147,5,799.4022,13.5869,799.3698,13.6357,945.6202
6ZKZ,33,898.942,5,778.3819,17.4082,778.3654,17.4205,926.9894
6ZKZ,34,868.639,5,750.7654,15.3284,750.7323,15.2915,898.7685
6ZKZ,35,839.216,5,726.0745,12.8088,726.0733,12.8113,863.5757
6ZKZ,36,810.652,5,696.5516,10.7774,696.5233,10.7633,836.3938
6ZKZ,37,782.924,5,675.6737,15.8739,675.6816,15.8739,802.5197
6ZKZ,38,756.014,5,662.4060,12.3738,662.4511,12.3964,786.2919
6ZKZ,39,729.901,5,640.1618,9.5198,640.1521,9.5247,762.1860
6ZKZ,40,704.564,5,612.1908,12.4256,612.1879,12.4510,733.1822
6ZKZ,41,679.985,5,578.0160,11.8110,577.9919,11.7973,688.4696
6ZKZ,42,656.145,5,573.9062,10.0675,573.9064,10.0426,670.0394
6ZKZ,43,633.025,5,544.1181,9.6646,544.1009,9.7313,647.3199
6ZKZ,44,610.606,5,526.3581,12.5936,526.3592,12.6094,631.9708
6ZKZ,45,588.872,5,508.9208,9.2343,508.9119,9.2674,604.8953
6ZKZ,46,567.804,5,496.8147,8.0276,496.8189,8.0236,585.6898
6ZKZ,47,547.386,5,471.5652,9.4764,471.5611,9.4381,568.1903
6ZKZ,48,527.6,5,454.6438,4.5120,454.6529,4.5503,545.0245
6ZKZ,49,508.43,5,442.9595,6.7970,442.9356,6.8144,526.6551
6ZKZ,50,489.861,5,421.0104,11.1635,420.9686,11.1367,498.1888
6ZKZ,51,471.875,5,397.5776,8.9964,397.5691,8.9847,482.5905
6ZKZ,52,454.46,5,388.6758,4.9614,388.6261,5.0401,462.0353
6ZKZ,53,437.597,5,372.8692,6.1146,372.8491,6.0827,444.6908
6ZKZ,54,421.274,5,356.8429,5.0438,356.8302,5.0396,433.3561
6ZKZ,55,405.476,5,343.0168,5.4988,343.0187,5.4391,409.4851
6ZKZ,56,390.188,5,330.3231,5.4407,330.3073,5.4311,388.2084
6ZKZ,57,375.397,5,319.2565,6.9029,319.2455,6.9225,377.5202
6ZKZ,58,361.089,5,309.0919,3.3660,309.0519,3.3031,367.4687
6ZKZ,59,347.251,5,300.4283,5.1373,300.4688,5.1041,353.1117
6ZKZ,60,333.87,5,285.5314,2.6456,285.5574,2.6000,343.0665
6ZKZ,61,320.934,5,272.9516,5.0975,272.9448,5.1277,324.0497
6ZKZ,62,308.43,5,260.7464,4.1429,260.7029,4.1538,315.1251
6ZKZ,63,296.345,5,254.4359,6.3770,254.3997,6.4089,305.9028
6ZKZ,64,284.669,5,243.5652,3.1008,243.5894,3.0451,294.5701
6ZKZ,65,273.389,5,231.9319,5.4040,231.9466,5.4090,276.0201
6ZKZ,66,262.495,5,227.5022,2.3478,227.5339,2.3546,271.5902
6ZKZ,67,251.974,5,211.6761,2.3646,211.6715,2.3429,254.9632
6ZKZ,68,241.818,5,207.3526,2.5637,207.3874,2.5212,246.8189
6ZKZ,69,232.014,5,198.9009,3.4159,198.9214,3.3840,235.3450
6ZKZ,70,222.553,5,192.1695,2.1204,192.1505,2.1058,228.9341
6ZKZ,71,213.425,5,179.7892,2.5688,179.8352,2.5518,218.2167
6ZKZ,72,204.619,5,175.1260,3.1994,175.1159,3.1862,208.7155
6ZKZ,73,196.127,5,166.3541,4.0670,166.3717,4.0295,201.2665
6ZKZ,74,187.938,5,159.8682,1.4286,159.8824,1.4744,192.4468
6ZKZ,75,180.045,5,152.3776,1.2682,152.3952,1.2586,183.9654
6ZKZ,76,172.437,5,145.2767,2.8039,145.2999,2.8216,174.4012
6ZKZ,77,165.106,5,139.6296,2.6923,139.6663,2.7035,169.1881
6ZKZ,78,158.045,5,135.5803,1.9441,135.5978,1.9682,160.3339
6ZKZ,79,151.243,5,129.4465,1.9595,129.5337,1.9524,156.0965
6ZKZ,80,144.695,5,122.5950,2.9914,122.6255,3.0111,149.7673
6ZKZ,81,138.39,5,116.8796,2.6713,116.8983,2.6216,138.6591
6ZKZ,82,132.323,5,113.7622,1.6166,113.7751,1.6064,134.2542
6ZKZ,83,126.485,5,106.6076,1.9129,106.6270,1.9256,128.4243
6ZKZ,84,120.869,5,102.4490,1.6892,102.4568,1.6379,121.6934
6ZKZ,85,115.469,5,97.1406,2.8613,97.1227,2.8773,116.9064
6ZKZ,86,110.276,5,93.0184,1.8918,93.0124,1.8692,113.3224
6ZKZ,87,105.285,5,89.7656,0.9027,89.7915,0.9097,108.6716
6ZKZ,88,100.489,5,84.9277,1.0075,84.9177,1.0046,103.4850
6ZKZ,89,95.8813,5,80.4787,0.7759,80.4565,0.7487,98.0722
6ZKZ,90,91.4559,5,77.0286,1.5836,77.0309,1.5931,91.9908
6ZKZ,91,87.2068,5,75.0149,1.2390,75.0192,1.2152,90.1852
6ZKZ,92,83.1281,5,70.6200,0.9719,70.6133,1.0265,85.4736
6ZKZ,93,79.2139,5,67.1235,0.7549,67.1590,0.7177,80.6782
6ZKZ,94,75.4588,5,64.0027,0.9126,64.0745,0.9285,77.6182
6ZKZ,95,71.8574,5,59.5259,1.4282,59.5338,1.4436,72.8936
6ZKZ,96,68.4042,5,57.4776,0.7973,57.5174,0.7626,68.3328
6ZKZ,97,65.0944,5,54.8946,1.1955,54.8829,1.1850,66.8206
6ZKZ,98,61.9226,5,52.0932,1.1765,52.0693,1.2140,63.6654
6ZKZ,99,58.8844,5,49.3734,0.6704,49.4253,0.6654,60.2197
6ZKZ,100,55.9748,5,47.4056,0.6429,47.4590,0.6674,57.3750
6ZKZ,101,53.1893,5,44.2634,1.1131,44.3008,1.1105,54.4570
6ZKZ,102,50.5235,5,41.9741,0.6906,42.0351,0.7308,50.3483
6ZKZ,103,47.9731,5,39.2563,0.7199,39.3075,0.7643,48.1807
6ZKZ,104,45.5338,5,38.1193,0.7393,38.1943,0.7573,45.7226
6ZKZ,105,43.2016,5,36.1950,0.9976,36.2210,1.0402,43.3305
6ZKZ,106,40.9725,5,34.2258,0.5233,34.3366,0.5937,41.8439
6ZKZ,107,38.8428,5,32.3487,0.7775,32.4445,0.7891,39.2763
6ZKZ,108,36.8086,5,30.4531,0.4873,30.5729,0.4999,37.4083
6ZKZ,109,34.8665,5,28.8297,0.5614,28.8951,0.5368,35.1040
6ZKZ,110,33.0129,5,27.0389,0.6990,27.0842,0.6872,33.0104
6ZKZ,111,31.2443,5,25.8909,0.2281,25.9758,0.2497,30.6683
6ZKZ,112,29.5577,5,24.9775,0.4455,25.0489,0.4782,30.0607
6ZKZ,113,27.9497,5,23.4468,0.6900,23.5541,0.7050,28.1464
6ZKZ,114,26.4172,5,21.5966,0.3254,21.7140,0.3591,26.9451
6ZKZ,115,24.9573,5,20.8289,0.3845,20.9035,0.3693,25.1152
6ZKZ,116,23.5672,5,19.1307,0.2606,19.2311,0.2178,23.5264
6ZKZ,117,22.2439,5,18.4819,0.3229,18.5989,0.4093,21.9478
6ZKZ,118,20.9849,5,17.4518,0.3955,17.5554,0.4535,21.1332
6ZKZ,119,19.7874,5,16.3145,0.3006,16.4800,0.3228,20.2195
6ZKZ,120,18.649,5,15.5049,0.1807,15.6769,0.2454,18.6273
6ZKZ,121,17.5672,5,14.4869,0.3696,14.7166,0.4004,17.5761
6ZKZ,122,16.5396,5,13.7244,0.3055,13.9155,0.3289,16.7523
6ZKZ,123,15.564,5,13.0079,0.4070,13.1867,0.4409,15.6407
6ZKZ,124,14.6382,5,12.0610,0.3091,12.2696,0.3660,14.9293
6ZKZ,125,13.7599,5,11.4007,0.2016,11.6913,0.2386,13.9977
6ZKZ,126,12.9272,5,10.7045,0.1271,10.9456,0.2156,13.0743
6ZKZ,127,12.1381,5,9.9740,0.1914,10.2734,0.2072,12.2694
6ZKZ,128,11.3907,5,9.3798,0.1578,9.6401,0.2716,11.4436
6ZKZ,129,10.683,5,8.7375,0.1768,8.9788,0.1177,10.8178
6ZKZ,130,10.0134,5,8.0933,0.1275,8.4010,0.1263,9.8423
6ZKZ,131,9.38004,5,7.6407,0.0947,7.9172,0.2074,9.2427
6ZKZ,132,8.78137,5,7.1700,0.2582,7.4612,0.3334,8.6316
6ZKZ,133,8.21574,5,6.7438,0.1872,7.0306,0.2014,8.1219
6ZKZ,134,7.68164,5,6.2574,0.1811,6.5577,0.1703,7.6900
6ZKZ,135,7.17757,5,5.8384,0.1185,6.2022,0.1510,7.2125
6ZKZ,136,6.70213,5,5.4242,0.0185,5.8687,0.1080,6.6556
6ZKZ,137,6.25395,5,5.0820,0.1381,5.5625,0.1609,6.1588
6ZKZ,138,5.8317,5,4.7187,0.0358,5.2184,0.0989,5.8078
6ZKZ,139,5.43412,5,4.4914,0.1442,5.0289,0.1010,5.3976
6ZKZ,140,5.06001,5,4.0916,0.0999,4.6010,0.0856,5.0943
6ZKZ,141,4.7082,5,3.8014,0.0544,4.3314,0.1366,4.6625
6ZKZ,142,4.37757,5,3.6185,0.1085,4.2328,0.1403,4.3107
6ZKZ,143,4.06704,5,3.2534,0.0661,3.9237,0.1636,4.0507
6ZKZ,144,3.77558,5,3.0691,0.0437,3.8488,0.1930,3.6902
6ZKZ,145,3.50222,5,2.9074,0.0564,3.7261,0.1690,3.4619
